a			 K K K
oblige			 N N N
obscure			 K K K
observation			 N N N
observe			 K K K
obsession			 K K K
obsolete			 N N N
obstacle			 K K K
obstruct			 K K K
obstruction			 K K K
obtain			 K K K
obvious			 K K K
occasion			 N N N
occasional			 N N N
occupation			 N N N
occupy			 K K K
occur			 N N N
occurrence			 N N N
ocean			 K K K
o'clock			 U N N
October			 K K K
odd			 K K K
odds			 K K K
odor			 U U U
of			 K K K
off			 K K K
offend			 N N N
offensive			 K K K
offer			 K K K
office			 K K K
officer			 K K K
official			 K K K
offset			 K K K
offspring			 N N N
often			 K K K
oil			 K K K
okay			 K K K
old			 K K K
omit			 K K K
on			 K K K
once			 K K K
one			 K K K
oneself			 K K K
onion			 K K K
only			 K K K
onto			 K K K
opaque			 K K K
open			 K K K
opening			 K K K
opera			 N N N
operate			 K K K
operation			 K K K
operational			 K K K
operator			 K K K
opinion			 K K K
opponent			 K K K
opportunity			 K K K
oppose			 N N N
opposite			 N N N
oppress			 N N N
opt			 U N N
optical			 K K K
optimistic			 N N N
optimum			 U N N
option			 K K K
optional			 K K K
or			 K K K
oral			 K K K
orange			 K K K
orbit			 U U U
orchard			 U U U
orchestra			 U U U
order			 K K K
orderly			 U N N
ordinary			 U N N
ore			 U U U
organ			 U N N
organic			 U N N
organism			 U U U
organization			 K K K
organize			 K K K
orient			 U N N
oriental			 U N N
orientation			 U N N
origin			 K K K
original			 K K K
originate			 N N N
ornament			 N N N
orphan			 U U U
orthodox			 N N N
other			 K K K
otherwise			 K K K
ought			 K K K
ounce			 K K K
our			 K K K
ours			 K K K
ourselves			 K K K
out			 K K K
outbreak			 U U U
outcome			 K K K
outdoor			 K K K
outer			 K K K
outfit			 U U U
outing			 U U U
outlet			 N N N
outline			 K K K
outlook			 K K K
output			 K K K
outrage			 U U U
outset			 U N N
outside			 U N N
outskirts			 U N N
outstanding			 U U U
outward			 U U U
oval			 U N N
oven			 U N N
over			 K K K
overall			 K K K
overcoat			 K K K
overcome			 K K K
overflow			 K K K
overhead			 N N N
overhear			 N N N
overlap			 K K K
overlook			 K K K
overnight			 K K K
overpass			 K K K
overseas			 K K K
overtake			 N N N
overthrow			 N N N
overtime			 K K K
overturn			 K K K
overwhelm			 K K K
overwhelming			 K K K
owe			 U N N
owing			 U N N
owl			 U U U
own			 K K K
owner			 K K K
ownership			 K K K
ox			 K K K
oxide			 K K K
oxygen			 K K K
ozone			 U U U
pace			 K K K
pack			 K K K
package			 K K K
packet			 U N N
pact			 U U U
pad			 K K K
paddle			 U U U
page			 K K K
pail			 U U U
pain			 U N N
painful			 K K K
paint			 U N N
painter			 U N N
painting			 K K K
pair			 U N N
palace			 K K K
pale			 U U U
palm			 K K K
pamphlet			 U N N
pan			 K K K
panda			 K K K
panel			 K K K
panic			 K K K
panorama			 U U U
pant			 U U U
pants			 U U U
paper			 K K K
paperback			 N N N
parachute			 U U U
parade			 U U U
paradigm			 U U U
paradox			 U N N
paragraph			 U U U
parallel			 K K K
paralyze			 U U U
parameter			 K K K
parasite			 U U U
parcel			 U U U
pardon			 U N N
parent			 U U N
park			 K K K
parliament			 U U U
part			 K K K
partial			 K K K
participant			 K K K
participate			 K K K
particle			 U N N
particular			 K K K
partly			 U N N
partner			 U N N
party			 K K K
pass			 K K K
passage			 K K K
passenger			 K K K
passer-by			 U N N
passion			 K K K
passive			 K K K
passport			 K K K
past			 K K K
paste			 K K K
pastime			 K K K
pasture			 U U U
pat			 U N N
patch			 K K K
patent			 K K K
path			 K K K
pathetic			 U N N
patience			 U N N
patient			 U N N
patriotic			 U N N
patrol			 U U U
patron			 U U U
pattern			 K K K
pause			 K K K
pave			 K K K
pavement			 K K K
paw			 U U U
pay			 K K K
payment			 K K K
pea			 U U U
peace			 K K K
peaceful			 K K K
peach			 N N N
peak			 N N N
peanut			 K K K
pear			 K K K
NULL			 K K K
pearl			 U N N
peasant			 U U U
pebble			 U U U
peculiar			 U N N
pedal			 U U U
pedestrian			 U U U
peel			 U U U
peep			 U U U
peer			 K K K
pen			 K K K
penalty			 U N N
pencil			 K K K
pendulum			 U U U
penetrate			 K K K
peninsula			 K K K
penny			 K K K
pension			 U N N
people			 K K K
pepper			 U U U
per			 U U U
perceive			 U N N
percent			 K K K
percentage			 K K K
perfect			 K K K
perfection			 N N N
perform			 K K K
performance			 K K K
perfume			 U U U
perhaps			 K K K
period			 N N N
periodical			 N N N
perish			 U U U
permanent			 U U U
permeate			 U U U
permission			 K K K
permit			 K K K
perpetual			 U U U
perplex			 U U N
persecute			 U U U
persevere			 U U U
persist			 U N N
person			 K K K
personal			 K K K
personality			 K K K
personnel			 U U U
perspective			 N N N
persuade			 U N N
persuasion			 U N N
pessimistic			 U U U
pest			 U N N
pet			 K K K
petition			 U U U
petrol			 K K K
petroleum			 K K K
petty			 U U U
pharmacy			 U U U
phase			 K K K
phenomenon			 K K K
philosopher			 K K K
philosophy			 K K K
phone			 K K K
photo			 K K K
phrase			 N N N
physical			 K K K
physician			 K K K
physicist			 K K K
physics			 K K K
physiological			 K K K
piano			 K K K
pick			 K K K
pickup			 K K K
picnic			 U U U
picture			 K K K
pie			 K K K
piece			 N N N
pierce			 K K K
pig			 K K K
pigeon			 U U U
pile			 K K K
pilgrim			 U U U
pill			 U N N
pillar			 U U N
pillow			 K K K
pilot			 U U U
pin			 U U U
pinch			 U U U
pine			 U U U
pink			 K K K
pint			 U U U
pioneer			 U N N
pipe			 K K K
pirate			 U N N
pistol			 U U U
piston			 U U U
pit			 U U U
pitch			 U U U
pity			 K K K
place			 U N N
plague			 U N N
plain			 U N N
plan			 K K K
plane			 K K K
planet			 U N N
plant			 K K K
plantation			 U U U
plaster			 N N N
plastic			 N N N
plate			 K K K
plateau			 K K K
platform			 K K K
plausible			 U N N
play			 K K K
playground			 K K K
plea			 U U U
plead			 U N N
pleasant			 N N N
please			 K K K
pleasure			 K K K
pledge			 U U U
plentiful			 U N N
plenty			 K K K
plight			 K K K
plot			 U N N
plough			 U U U
plug			 U N N
plumber			 U U U
plunge			 U U U
plural			 U U U
plus			 K K K
pneumonia			 U U U
pocket			 K K K
poem			 K K K
poet			 K K K
poetry			 U U U
point			 K K K
poison			 K K K
poisonous			 K K K
poke			 K K K
polar			 K K K
pole			 U N N
police			 K K K
policeman			 K K K
policy			 K K K
polish			 N N N
polite			 K K K
political			 K K K
politician			 K K K
politics			 K K K
poll			 N N N
pollute			 U N N
pollution			 U N N
pond			 U U U
ponder			 U N N
pool			 K K K
poor			 K K K
pop			 K K K
pope			 U U U
popular			 K K K
population			 K K K
porcelain			 U U U
porch			 U U U
pork			 U U U
port			 K K K
portable			 U N N
porter			 U U U
portion			 U U U
portrait			 U U U
portray			 U U U
pose			 K K K
position			 K K K
positive			 K K K
possess			 U N N
possession			 U N N
possibility			 U U N
possible			 K K K
possibly			 K K K
post			 K K K
postage			 U U U
postcard			 U N N
poster			 K K K
postman			 K K K
postpone			 K K K
posture			 U U U
pot			 K K K
potato			 K K K
potential			 N N N
poultry			 U U U
pound			 U U U
pour			 N N N
poverty			 U N N
powder			 U N N
power			 K K K
powerful			 K K K
practical			 K K K
practically			 K K K
practice			 K K K
practise			 N N N
practitioner			 N N N
praise			 K K K
pray			 K K K
prayer			 K K K
preach			 U U U
precaution			 U U U
precede			 N N N
precedent			 K K K
preceding			 K K K
precious			 N N N
precise			 N N N
precision			 N N N
preclude			 U N N
predecessor			 N N N
predict			 K K K
predominant			 K K K
preface			 K K K
prefer			 K K K
preferable			 U U U
preference			 U N N
pregnant			 K K K
prejudice			 U U U
preliminary			 U U U
premier			 U N N
premise			 U U U
premium			 U U U
preparation			 K K K
prepare			 K K K
preposition			 U U U
prescribe			 U U U
prescription			 U U U
presence			 U U N
present			 K K K
presently			 K K K
preserve			 U U N
preside			 U U U
president			 K K K
press			 K K K
pressure			 K K K
prestige			 U U U
presumably			 K K K
presume			 U U N
pretend			 K K K
pretext			 N N N
pretty			 K K K
prevail			 K K K
prevalent			 U U N
prevent			 K K K
previous			 K K K
prey			 N N N
price			 K K K
prick			 U U U
pride			 N N N
NULL			 K K K
priest			 U U U
primary			 N N N
prime			 N N N
primitive			 U U U
prince			 K K K
princess			 K K K
principal			 N N N
principle			 N N N
print			 K K K
prior			 K K K
priority			 K K K
prison			 K K K
prisoner			 K K K
privacy			 K K K
private			 K K K
privilege			 U U N
prize			 K K K
probability			 K K K
probable			 K K K
probe			 U N N
problem			 K K K
procedure			 U N N
proceed			 K K K
proceeding			 K K K
process			 K K K
procession			 K K K
proclaim			 K K K
produce			 K K K
product			 K K K
production			 K K K
productive			 K K K
productivity			 K K K
profession			 K K K
professional			 K K K
professor			 K K K
proficiency			 U U U
profile			 K K K
profit			 K K K
profitable			 K K K
profound			 K K K
programme			 U N N
progress			 K K K
progressive			 N N N
prohibit			 K K K
project			 K K K
projector			 K K K
prolong			 U N N
prominent			 N N N
promise			 K K K
promising			 K K K
promote			 K K K
prompt			 N N N
prone			 N N N
pronoun			 U N N
pronounce			 U N N
pronunciation			 U U U
proof			 K K K
propaganda			 U U U
propel			 U U U
proper			 K K K
property			 K K K
prophet			 U U U
proportion			 N N N
proposal			 N N N
propose			 U U N
proposition			 U U U
prose			 N N N
prosecute			 U U U
prospect			 N N N
prospective			 N N N
prosper			 U U U
prosperity			 N N N
prosperous			 N N N
protect			 K K K
protein			 U N N
protest			 K K K
prototype			 K K K
proud			 U N N
prove			 U N N
provide			 K K K
provided			 K K K
province			 K K K
provision			 U U U
provoke			 K K K
prudent			 K K K
psychiatry			 N N N
psychology			 N N N
pub			 K K K
public			 K K K
publication			 K K K
publicity			 K K K
publish			 K K K
puff			 U N N
pull			 K K K
pulse			 N N N
pump			 K K K
punch			 K K K
punctual			 N N N
punish			 K K K
pupil			 N N N
puppet			 U U U
purchase			 K K K
pure			 K K K
purify			 K K K
purple			 U N N
purpose			 K K K
purse			 N N N
pursue			 U N N
pursuit			 K K K
push			 K K K
put			 K K K
puzzle			 N N N
pyramid			 K K K
qualification			 N N N
qualify			 N N N
qualitative			 N N N
quality			 N N N
quantify			 N N N
quantitative			 N N N
quantity			 N N N
quarrel			 U U U
quart			 N N N
quarter			 K K K
quarterly			 K K K
quartz			 N N N
queen			 K K K
queer			 U N N
quench			 U U U
quest			 N N N
question			 K K K
questionnaire			 U U U
queue			 K K K
quick			 K K K
quiet			 K K K
quilt			 U U U
quit			 K K K
quite			 K K K
quiver			 U U U
quiz			 U N N
quota			 U U U
quote			 K K K
rabbit			 K K K
race			 K K K
racial			 K K K
rack			 U U U
racket			 U U U
radar			 U U U
radiant			 U N N
radiate			 U N N
radical			 U U U
radio			 K K K
radioactive			 K K K
radius			 K K K
rag			 U U U
rage			 K K K
raid			 U U U
rail			 U N N
railroad			 U N N
rain			 K K K
rainbow			 K K K
raise			 K K K
rake			 U U U
rally			 N N N
random			 K K K
range			 K K K
rank			 K K K
rap			 U U U
rape			 N N N
rapid			 K K K
rare			 K K K
rarely			 K K K
rash			 U U U
rat			 U N N
rate			 K K K
rather			 K K K
ratio			 K K K
rational			 K K K
raw			 K K K
ray			 U N N
razor			 U N N
reach			 K K K
react			 U N N
read			 K K K
reader			 K K K
readily			 N N N
reading			 K K K
ready			 K K K
real			 K K K
realise			 K K K
realistic			 N N N
reality			 K K K
really			 K K K
realm			 K K K
reap			 N N N
rear			 K K K
reason			 K K K
reasonable			 K K K
reassure			 U U U
rebel			 U N N
rebellion			 U N N
recall			 K K K
recede			 N N N
receipt			 K K K
receive			 K K K
recent			 K K K
reception			 N N N
recipe			 U N N
recipient			 U U U
reciprocal			 U N N
recite			 U U U
reckless			 U U U
reckon			 K K K
reclaim			 K K K
recognition			 K K K
recognize			 K K K
recollect			 U N N
recommend			 K K K
reconcile			 U U U
record			 K K K
recorder			 K K K
recover			 K K K
recovery			 K K K
recreation			 U U U
recruit			 U U U
rectangle			 K K K
rectify			 U U U
recur			 U U U
recycle			 K K K
red			 K K K
reduce			 U N N
reduction			 U N N
redundant			 U N N
reed			 U U U
reel			 U U U
refer			 U N N
reference			 K K K
refine			 N N N
reflect			 K K K
reflection			 K K K
reform			 K K K
refrain			 U N N
refresh			 K K K
refreshment			 N N N
refuge			 U N N
refugee			 K K K
refund			 U U U
refusal			 U U U
refuse			 K K K
refute			 U U U
regard			 K K K
NULL			 K K K
regarding			 K K K
regardless			 K K K
regime			 K K K
region			 K K K
register			 K K K
regret			 K K K
regular			 K K K
regulate			 K K K
regulation			 K K K
rehearsal			 U U U
reign			 K K K
rein			 U N N
reinforce			 U N N
reject			 N N N
rejoice			 U U U
relate			 K K K
relation			 K K K
relationship			 K K K
relative			 K K K
relativity			 K K K
relax			 K K K
relay			 K K K
release			 N N N
relevant			 N N N
reliable			 K K K
reliance			 K K K
relief			 K K K
relieve			 K K K
religion			 U N N
religious			 U N N
relish			 U U N
reluctant			 U U U
rely			 K K K
remain			 K K K
remainder			 K K K
remains			 K K K
remark			 K K K
remarkable			 K K K
remedy			 U U U
remember			 K K K
remind			 K K K
remnant			 N N N
remote			 K K K
removal			 U N N
remove			 K K K
renaissance			 U U U
render			 K K K
renew			 U N N
renovate			 U U U
rent			 U N N
repair			 K K K
repay			 U N N
repeat			 K K K
repeatedly			 K K K
repel			 U U U
repertoire			 U U U
repetition			 U U U
replace			 K K K
replacement			 K K K
reply			 K K K
report			 K K K
reporter			 K K K
represent			 K K K
representative			 K K K
repression			 K K K
reproach			 U U U
reproduce			 N N N
reptile			 N N N
republic			 N N N
republican			 N N N
reputation			 N N N
request			 K K K
require			 K K K
requirement			 K K K
rescue			 K K K
research			 K K K
resemblance			 U U U
resemble			 U U N
resent			 U U U
reservation			 U U U
reserve			 N N N
reservoir			 N N N
residence			 U N N
resident			 K K K
resign			 U N N
resist			 U N N
resistance			 U N N
resistant			 U N N
resolute			 N N N
resolution			 N N N
resolve			 N N N
resort			 N N N
resource			 K K K
respect			 K K K
respective			 K K K
respond			 K K K
response			 K K K
responsibility			 K K K
responsible			 K K K
rest			 K K K
restaurant			 K K K
restless			 U N N
restore			 K K K
restrain			 K K K
restraint			 K K K
restrict			 U U U
result			 K K K
resultant			 K K K
resume			 K K K
retail			 K K K
retain			 N N N
retention			 U U U
retire			 K K K
retort			 U N N
retreat			 N N N
retrieve			 N N N
retrospect			 U U U
return			 K K K
reveal			 K K K
revelation			 K K K
revenge			 U U U
revenue			 K K K
reverse			 K K K
review			 K K K
revise			 N N N
revive			 N N N
revolt			 U U U
revolution			 K K K
revolutionary			 K K K
revolve			 N N N
reward			 K K K
rhythm			 N N N
rib			 U N N
ribbon			 U U U
rice			 K K K
rich			 K K K
rid			 U U U
riddle			 U U U
ride			 K K K
ridge			 U N N
ridiculous			 K K K
rifle			 U U U
right			 K K K
rigid			 U U U
rigorous			 U U U
rim			 K K K
ring			 K K K
riot			 U U U
rip			 N N N
ripe			 K K K
rise			 K K K
risk			 K K K
ritual			 U U U
rival			 U U N
river			 K K K
road			 K K K
roar			 K K K
roast			 U N N
rob			 K K K
robe			 K K K
robot			 K K K
robust			 K K K
rock			 K K K
rocket			 K K K
rod			 U U U
role			 K K K
roll			 K K K
romance			 K K K
romantic			 K K K
roof			 K K K
room			 K K K
root			 K K K
rope			 U N N
rose			 K K K
rot			 K K K
rotary			 U U U
rotate			 K K K
rotten			 K K K
rough			 U N N
round			 K K K
roundabout			 K K K
rouse			 K K K
route			 K K K
routine			 K K K
row			 K K K
royal			 K K K
royalty			 N N N
rub			 U N N
rubber			 U U U
rubbish			 U N N
ruby			 K K K
rude			 U N N
rug			 K K K
ruin			 U N N
rule			 K K K
ruler			 K K K
rumor			 K K K
run			 K K K
rural			 U U U
rush			 K K K
rust			 U U U
ruthless			 U U U
sack			 U U U
sacred			 U N N
sacrifice			 N N N
sad			 K K K
saddle			 U U N
safe			 K K K
safeguard			 N N N
safety			 K K K
sail			 U N N
sailor			 K K K
saint			 N N N
sake			 U U U
salad			 U U N
salary			 K K K
sale			 N N N
salesman			 K K K
salt			 N N N
salute			 U U U
salvation			 U U U
same			 K K K
sample			 K K K
sanction			 U U U
sand			 K K K
sandwich			 K K K
sane			 U U U
sarcastic			 U U U
satellite			 K K K
satire			 U U U
satisfaction			 K K K
satisfactory			 K K K
satisfy			 K K K
saturate			 K K K
Saturday			 K K K
sauce			 U U U
saucer			 U U U
sausage			 U U U
savage			 U U U
save			 K K K
saving			 K K K
saw			 K K K
say			 K K K
scale			 K K K
scan			 K K K
scandal			 K K K
scar			 U U U
scarce			 K K K
scarcely			 U U N
scare			 K K K
NULL			 K K K
scarf			 U U U
scatter			 U N N
scene			 N N N
scenery			 N N N
scent			 U U U
schedule			 K K K
scheme			 U N N
scholar			 K K K
scholarship			 K K K
school			 K K K
science			 K K K
scientific			 K K K
scientist			 K K K
scissors			 U U U
scold			 U U U
scope			 K K K
score			 K K K
scorn			 U U U
scout			 U U U
scramble			 U U U
scrap			 U U U
scrape			 U N N
scratch			 U U U
scream			 K K K
screen			 K K K
screw			 U N N
script			 K K K
scrutiny			 U U U
sculpture			 U U U
sea			 K K K
seal			 K K K
seam			 K K K
search			 K K K
seaside			 K K K
season			 K K K
seat			 K K K
second			 K K K
secondary			 K K K
secret			 K K K
secretary			 K K K
section			 K K K
sector			 K K K
secure			 K K K
security			 K K K
see			 K K K
seed			 K K K
seek			 K K K
seem			 K K K
seemingly			 K K K
segment			 K K K
segregate			 U U U
seize			 K K K
seldom			 K K K
select			 K K K
selection			 K K K
self			 K K K
selfish			 K K K
sell			 K K K
semester			 U N N
semiconductor			 U N N
seminar			 U N N
senate			 K K K
senator			 U N N
send			 K K K
senior			 K K K
sensation			 N N N
sense			 K K K
sensible			 K K K
sensitive			 K K K
sentence			 K K K
sentiment			 U N N
separate			 K K K
September			 K K K
sequence			 K K K
serial			 N N N
series			 N N N
serious			 N N N
servant			 K K K
serve			 K K K
service			 K K K
session			 K K K
set			 K K K
setback			 U N N
setting			 K K K
settle			 K K K
settlement			 K K K
seven			 K K K
several			 K K K
severe			 U U U
sew			 U N N
sex			 K K K
shabby			 N N N
shade			 K K K
shadow			 K K K
shady			 U U U
shaft			 U U U
shake			 K K K
shall			 U N N
shallow			 K K K
sham			 U U U
shame			 U N N
shampoo			 U U U
shape			 K K K
share			 K K K
shark			 U U U
sharp			 U N N
shatter			 U N N
shave			 N N N
she			 K K K
shear			 N N N
shed			 U U U
sheep			 K K K
sheer			 U U U
sheet			 N N N
shelf			 K K K
shell			 K K K
shelter			 K K K
shepherd			 U N N
shield			 N N N
shift			 K K K
shilling			 U U U
shine			 U N N
ship			 K K K
shipment			 K K K
shirt			 U U U
shiver			 N N N
shock			 K K K
shoe			 K K K
shoot			 K K K
shop			 K K K
shopkeeper			 K K K
shore			 U N N
short			 U U N
shortage			 K K K
shortcoming			 K K K
shorthand			 K K K
shortly			 K K K
shot			 K K K
should			 K K K
shoulder			 U N N
shout			 U N N
shove			 U U U
show			 K K K
shower			 U U U
shrewd			 U U U
shrink			 K K K
shrug			 U U U
shut			 K K K
shutter			 K K K
shuttle			 K K K
shy			 U U N
sick			 K K K
side			 K K K
sideways			 K K K
siege			 U U U
sigh			 K K K
sight			 U N N
sightseeing			 K K K
sign			 K K K
signal			 K K K
signature			 U N N
significance			 K K K
significant			 K K K
signify			 K K K
silence			 K K K
silent			 K K K
silicon			 K K K
silk			 K K K
silly			 U U U
silver			 K K K
similar			 K K K
simple			 K K K
simplicity			 K K K
simplify			 K K K
simply			 K K K
simulate			 K K K
simultaneous			 K K K
sin			 U U U
since			 K K K
sincere			 N N N
sing			 K K K
single			 K K K
singular			 K K K
sink			 U U U
sip			 K K K
sir			 K K K
siren			 U U U
sister			 K K K
sit			 K K K
site			 K K K
situated			 U N N
situation			 K K K
six			 K K K
size			 K K K
skate			 U U U
skeleton			 K K K
skeptical			 U U U
sketch			 U U U
ski			 U U U
skill			 U N N
skilled			 U N N
skillful			 U N N
skim			 U U U
skin			 K K K
skip			 K K K
skirt			 K K K
skull			 U U U
sky			 K K K
skyscraper			 K K K
slack			 U N N
slam			 U N N
slap			 U N N
slaughter			 N N N
slave			 K K K
sleep			 K K K
sleeve			 U U U
slender			 K K K
slice			 K K K
slide			 U N N
slight			 U U N
slim			 U U U
slip			 U U U
slipper			 U U N
slippery			 U U U
slit			 U U U
slogan			 U N N
slope			 U N N
slot			 K K K
slow			 K K K
slum			 U U U
sly			 U U U
small			 K K K
smart			 K K K
smash			 U N N
smell			 U N N
smile			 K K K
smog			 K K K
smoke			 K K K
smooth			 K K K
smuggle			 U U U
snack			 K K K
snake			 K K K
snap			 U U U
snatch			 U N N
sneak			 U U U
sneeze			 U U U
sniff			 U U U
snow			 K K K
snowstorm			 K K K
so			 K K K
NULL			 K K K
soak			 U N N
soap			 N N N
soar			 K K K
sob			 K K K
sober			 K K K
so-called			 K K K
soccer			 K K K
sociable			 N N N
social			 N N N
socialism			 K K K
society			 K K K
sociology			 K K K
sock			 K K K
soda			 K K K
sofa			 K K K
soft			 K K K
software			 K K K
soil			 U U U
solar			 U U N
soldier			 K K K
sole			 K K K
solemn			 U U N
solid			 K K K
solidarity			 K K K
solitary			 K K K
solo			 K K K
soluble			 N N N
solution			 K K K
solve			 U N N
some			 K K K
somebody			 K K K
somehow			 K K K
someone			 K K K
something			 K K K
sometime			 K K K
sometimes			 K K K
somewhat			 K K K
somewhere			 K K K
son			 K K K
song			 K K K
soon			 K K K
sophisticated			 K K K
sophomore			 K K K
sore			 K K K
sorrow			 U N N
sorry			 K K K
sort			 K K K
soul			 N N N
sound			 K K K
soup			 K K K
sour			 K K K
source			 K K K
south			 K K K
southeast			 K K K
southern			 K K K
southwest			 K K K
sovereign			 K K K
sow			 U U U
space			 K K K
spacecraft			 K K K
spaceship			 K K K
spacious			 N N N
spade			 U U U
span			 K K K
spare			 K K K
spark			 N N N
sparkle			 N N N
speak			 U N N
speaker			 K K K
spear			 N N N
special			 K K K
specialist			 K K K
speciality			 N N N
specialize			 K K K
species			 K K K
specific			 K K K
specification			 K K K
specify			 N N N
specimen			 U U U
spectacle			 U N N
spectacular			 U U N
spectator			 U U N
spectrum			 U U U
speculate			 K K K
speech			 K K K
speed			 K K K
spell			 K K K
spelling			 K K K
spend			 K K K
sphere			 K K K
spicy			 U U U
spider			 K K K
spill			 U U U
spin			 K K K
spine			 U U U
spiral			 U U U
spirit			 K K K
spiritual			 U U U
spit			 U U U
spite			 U N N
splash			 U U N
splendid			 U U U
split			 K K K
spoil			 U N N
spokesman			 K K K
sponge			 U N N
sponsor			 K K K
spontaneous			 U U U
spoon			 U N N
sport			 K K K
sportsman			 K K K
spot			 K K K
spouse			 U U U
spray			 U U U
spread			 K K K
spring			 K K K
sprinkle			 U U U
sprout			 U U U
spur			 U U U
spy			 K K K
square			 K K K
squeeze			 K K K
squirrel			 U U U
stab			 U N N
stability			 U N N
stable			 K K K
stack			 K K K
stadium			 U U U
staff			 K K K
stage			 U N N
stagger			 U U N
stain			 U U U
stair			 K K K
staircase			 U U U
stake			 U U U
stale			 U U U
stalk			 K K K
stall			 U U U
stamp			 U U U
stand			 K K K
standard			 K K K
standpoint			 K K K
staple			 U U U
star			 K K K
stare			 U N N
start			 K K K
startle			 U N N
starve			 K K K
state			 K K K
statement			 K K K
statesman			 U N N
static			 K K K
station			 K K K
stationary			 U U U
stationery			 U U U
statistical			 U N N
statue			 K K K
status			 K K K
statute			 U U U
stay			 K K K
steady			 U U U
steak			 U U U
steal			 K K K
steam			 U N N
steamer			 U N N
steel			 K K K
steep			 U U U
steer			 U N N
stem			 U U U
step			 K K K
stereo			 K K K
stereotype			 K K K
stern			 U U U
steward			 U U U
stick			 K K K
sticky			 K K K
stiff			 U U U
still			 K K K
stimulate			 K K K
sting			 U N N
stir			 U N N
stitch			 U U U
stock			 K K K
stocking			 K K K
stomach			 U N N
stone			 K K K
stool			 U U U
stoop			 U U U
stop			 K K K
storage			 K K K
store			 K K K
storey			 K K K
storm			 K K K
story			 K K K
stove			 U N N
straight			 K K K
straightforward			 K K K
strain			 U N N
strange			 K K K
stranger			 K K K
strap			 U N N
strategy			 K K K
straw			 U N N
strawberry			 U U U
stream			 K K K
streamline			 K K K
street			 K K K
strength			 K K K
strengthen			 K K K
strenuous			 U U U
stress			 U N N
stretch			 U N N
strict			 U N N
stride			 U U U
strife			 U U U
strike			 K K K
striking			 U U U
string			 U N N
strip			 K K K
stripe			 K K K
strive			 U U U
stroke			 U U U
stroll			 U N N
strong			 K K K
structure			 K K K
struggle			 U N N
stubborn			 U U U
student			 K K K
studio			 K K K
study			 K K K
stuff			 K K K
stumble			 K K K
stun			 U U U
stupid			 K K K
sturdy			 U U U
style			 K K K
subject			 K K K
subjective			 U U U
submarine			 U N N
submerge			 U N N
submit			 K K K
subordinate			 U U U
subscribe			 N N N
subsequent			 U U U
subsidy			 U U U
substance			 U U U
substantial			 U N N
substitute			 U U N
subtle			 U N N
subtract			 U U U
NULL			 K K K
suburb			 U U U
subway			 K K K
succeed			 K K K
success			 K K K
successful			 K K K
succession			 U U U
successive			 U U U
successor			 K K K
such			 K K K
suck			 K K K
sudden			 U N N
sue			 U U U
suffer			 K K K
suffice			 U U U
sufficient			 K K K
sugar			 K K K
suggest			 K K K
suggestion			 K K K
suicide			 K K K
suit			 K K K
suitable			 K K K
suite			 U U U
sulfur			 U U U
sum			 K K K
summarize			 K K K
summary			 K K K
summer			 K K K
summit			 K K K
summon			 U U U
sun			 K K K
Sunday			 K K K
sunrise			 K K K
sunset			 K K K
sunshine			 K K K
super			 K K K
superb			 U U N
superficial			 U U U
superfluous			 U U U
superior			 U U U
superiority			 U U U
supermarket			 U N N
supersonic			 U U U
superstition			 U U U
supervise			 K K K
supper			 K K K
supplement			 U N N
supply			 K K K
support			 K K K
suppose			 K K K
suppress			 U N N
supreme			 U U U
sure			 K K K
surface			 K K K
surge			 U U U
surgeon			 U N N
surgery			 U N N
surname			 K K K
surpass			 U U U
surplus			 K K K
surprise			 K K K
surrender			 U N N
surround			 K K K
surroundings			 K K K
survey			 U N N
survival			 K K K
survive			 K K K
susceptible			 U U U
suspect			 K K K
suspend			 K K K
suspicion			 U N N
suspicious			 U N N
sustain			 K K K
swallow			 U N N
swamp			 U U U
swan			 K K K
swarm			 U U U
sway			 U U U
swear			 K K K
sweat			 U U U
sweater			 U U U
sweep			 N N N
sweet			 N N N
swell			 U N N
swift			 K K K
swim			 U N N
swing			 U N N
switch			 U U U
sword			 K K K
symbol			 K K K
symmetry			 K K K
sympathetic			 N N N
sympathize			 N N N
sympathy			 N N N
symphony			 U U U
symposium			 U U U
symptom			 U U U
syndrome			 U U U
synthesis			 K K K
synthetic			 K K K
system			 K K K
systematic			 K K K
table			 K K K
tablet			 U U U
tackle			 U U U
tactic			 K K K
tag			 K K K
tail			 K K K
tailor			 K K K
take			 K K K
tale			 K K K
talent			 K K K
talk			 K K K
tall			 K K K
tame			 U U U
tan			 U U U
tangle			 K K K
tank			 K K K
tanker			 K K K
tap			 K K K
tape			 K K K
tar			 U U N
target			 K K K
tariff			 U U N
task			 K K K
taste			 K K K
tax			 K K K
taxi			 K K K
tea			 K K K
teach			 K K K
teacher			 K K K
team			 K K K
tear			 U N N
tease			 K K K
technical			 K K K
technician			 K K K
technique			 K K K
technology			 K K K
tedious			 U U U
teenager			 K K K
telegram			 K K K
telegraph			 K K K
telephone			 K K K
telescope			 K K K
tell			 K K K
temper			 K K K
temperament			 U U U
temperature			 U N N
temple			 K K K
tempo			 K K K
temporary			 K K K
tempt			 K K K
temptation			 K K K
ten			 K K K
tenant			 K K K
tend			 K K K
tendency			 U U U
tender			 K K K
tennis			 U U U
tense			 U N N
tension			 K K K
tent			 K K K
tentative			 U U U
term			 K K K
terminal			 K K K
terminate			 K K K
