a			 K K K
boat			 K K K
body			 K K K
boil			 U U U
bold			 K K K
bolt			 K K K
bomb			 K K K
bond			 K K K
bone			 N N N
bonus			 K K K
book			 K K K
boom			 U U N
boost			 K K K
boot			 K K K
booth			 K K K
border			 K K K
bore			 K K K
born			 K K K
borrow			 K K K
bosom			 K K K
boss			 K K K
both			 K K K
bother			 N N N
bottle			 K K K
bottom			 K K K
bounce			 K K K
bound			 K K K
boundary			 K K K
bow			 K K K
bowel			 U N N
bowl			 U N N
bowling			 U K K
box			 K K K
boy			 K K K
boycott			 K K K
brace			 K K K
bracket			 U N N
brain			 K K K
brake			 N N N
branch			 K K K
brand			 K K K
brandy			 K K K
brass			 U U U
brave			 K K K
breach			 U U U
bread			 U K K
breadth			 K K K
break			 K K K
breakdown			 K K K
breakfast			 K K K
breast			 U U N
breath			 K K K
breathe			 K K K
breed			 U U N
breeze			 K K K
bribe			 U U U
brick			 K K K
bride			 U K K
bridge			 K K K
brief			 U K K
briefcase			 K K K
bright			 K K K
brilliant			 K K K
brim			 U N N
bring			 K K K
brisk			 U U U
brittle			 U U N
broad			 K K K
broadcast			 K K K
brochure			 U U N
bronze			 U U N
brook			 U N N
broom			 U U U
brother			 K K K
brow			 U U U
brown			 U N N
browse			 U N N
bruise			 U U N
brush			 K K K
brutal			 N N N
bubble			 K K K
bucket			 N N N
bud			 U U U
budget			 K K K
buffet			 U U N
bug			 K K K
build			 K K K
building			 K K K
bulb			 U U U
bulk			 U N N
bull			 U N N
bullet			 K K K
bulletin			 U U N
bully			 U U U
bump			 U N N
bunch			 K K K
bundle			 K K K
burden			 K K K
bureau			 K K K
bureaucracy			 K K K
burglar			 U U N
burn			 K K K
burst			 U U N
bury			 U U U
bus			 K K K
bush			 U U N
business			 K K K
busy			 K K K
but			 K K K
butcher			 U N N
butter			 K K K
butterfly			 K K K
button			 K K K
buy			 K K K
by			 K K K
bypass			 N N N
cab			 U U U
cabbage			 U N N
cabin			 K K K
cabinet			 K K K
cable			 N N N
cafe			 K K K
cafeteria			 U U U
cage			 U U N
cake			 K K K
calcium			 U N N
calculate			 K K K
calendar			 K K K
call			 K K K
calm			 N N N
calorie			 K K K
camel			 K K K
camera			 U N N
camp			 U N N
campaign			 K K K
campus			 U N N
can			 K K K
canal			 U U U
cancel			 K K K
cancer			 K K K
candidate			 K K K
candle			 U N N
candy			 K K K
cannon			 K K K
canoe			 U U U
canteen			 U U U
canvas			 K K K
cap			 K K K
capable			 K K K
capacity			 K K K
cape			 U U N
capital			 N N N
capitalism			 K K K
capsule			 K K K
captain			 U N N
captive			 U N N
capture			 K K K
car			 K K K
carbohydrate			 U U U
carbon			 U U U
card			 K K K
cardinal			 U U N
care			 K K K
career			 K K K
careful			 K K K
caress			 N N N
cargo			 K K K
carpenter			 K K K
carpet			 U U U
carriage			 N N N
carrier			 K K K
carrot			 K K K
carry			 K K K
cart			 K K K
cartoon			 K K K
carve			 K K K
case			 K K K
cash			 K K K
cashier			 K K K
cassette			 K K K
cast			 K K K
castle			 K K K
casual			 N N N
casualty			 N N N
cat			 K K K
catalog			 K K K
catastrophe			 K K K
catch			 K K K
category			 K K K
cater			 U U U
cathedral			 U U U
Catholic			 U U U
cattle			 K K K
cause			 N N N
caution			 N N N
cautious			 N N N
cave			 K K K
cease			 K K K
ceiling			 K K K
celebrate			 K K K
celebrity			 K K K
cell			 K K K
cellar			 K K K
cement			 U N N
cemetery			 U U N
census			 U U U
cent			 U U U
centigrade			 K K K
centimetre			 K K K
central			 K K K
centre			 K K K
century			 K K K
cereal			 U U N
ceremony			 N N N
certain			 K K K
certainly			 K K K
certainty			 K K K
certificate			 K K K
certify			 K K K
chain			 K K K
chair			 K K K
chairman			 K K K
chalk			 U U U
challenge			 K K K
chamber			 U U U
champagne			 K K K
NULL			 K K K
champion			 K K K
chance			 K K K
chancellor			 U U N
change			 K K K
channel			 K K K
chaos			 N N N
chap			 U U N
chapter			 K K K
character			 K K K
characteristic			 K K K
characterize			 N N N
charge			 N N N
