a			 K
see			 K
seed			 K
seek			 K
seem			 K
seemingly			 K
segment			 K
segregate			 U
seize			 K
seldom			 K
select			 K
selection			 K
self			 K
selfish			 K
sell			 K
semester			 U
semiconductor			 U
seminar			 U
senate			 K
senator			 U
send			 K
senior			 K
sensation			 N
sense			 K
sensible			 K
sensitive			 K
sentence			 K
sentiment			 U
separate			 K
September			 K
sequence			 K
serial			 N
series			 N
serious			 N
servant			 K
serve			 K
service			 K
session			 K
set			 K
setback			 U
setting			 K
settle			 K
settlement			 K
seven			 K
several			 K
severe			 U
sew			 U
sex			 K
shabby			 N
shade			 K
shadow			 K
shady			 U
shaft			 U
shake			 K
shall			 U
shallow			 K
sham			 U
shame			 U
shampoo			 U
shape			 K
share			 K
shark			 U
sharp			 U
shatter			 U
shave			 N
she			 K
shear			 N
shed			 U
sheep			 K
sheer			 U
sheet			 N
shelf			 K
shell			 K
shelter			 K
shepherd			 U
shield			 N
shift			 K
shilling			 U
shine			 U
ship			 K
shipment			 K
shirt			 U
shiver			 N
shock			 K
shoe			 K
shoot			 K
shop			 K
shopkeeper			 K
shore			 U
short			 U
shortage			 K
shortcoming			 K
shorthand			 K
shortly			 K
shot			 K
should			 K
shoulder			 U
shout			 U
shove			 U
show			 K
shower			 U
shrewd			 U
shrink			 K
shrug			 U
shut			 K
shutter			 K
shuttle			 K
shy			 U
sick			 K
side			 K
sideways			 K
siege			 U
sigh			 K
sight			 U
sightseeing			 K
sign			 K
signal			 K
signature			 U
significance			 K
significant			 K
signify			 K
silence			 K
silent			 K
silicon			 K
silk			 K
silly			 U
silver			 K
similar			 K
simple			 K
simplicity			 K
simplify			 K
simply			 K
simulate			 K
simultaneous			 K
sin			 U
since			 K
sincere			 N
sing			 K
single			 K
singular			 K
sink			 U
sip			 K
sir			 K
siren			 U
sister			 K
sit			 K
site			 K
situated			 U
situation			 K
six			 K
size			 K
skate			 U
skeleton			 K
skeptical			 U
sketch			 U
ski			 U
skill			 U
skilled			 U
skillful			 U
skim			 U
skin			 K
skip			 K
skirt			 K
skull			 U
sky			 K
skyscraper			 K
slack			 U
slam			 U
slap			 U
slaughter			 N
slave			 K
sleep			 K
sleeve			 U
slender			 K
slice			 K
slide			 U
slight			 U
slim			 U
slip			 U
slipper			 U
slippery			 U
slit			 U
slogan			 U
slope			 U
slot			 K
slow			 K
slum			 U
sly			 U
small			 K
smart			 K
smash			 U
smell			 U
smile			 K
smog			 K
smoke			 K
smooth			 K
smuggle			 U
snack			 K
snake			 K
snap			 U
snatch			 U
sneak			 U
sneeze			 U
sniff			 U
snow			 K
snowstorm			 K
so			 K
			 K
soak			 U
soap			 N
soar			 K
sob			 K
sober			 K
so-called			 K
soccer			 K
sociable			 N
social			 N
socialism			 K
society			 K
sociology			 K
sock			 K
soda			 K
sofa			 K
soft			 K
software			 K
soil			 U
solar			 U
soldier			 K
sole			 K
solemn			 U
solid			 K
solidarity			 K
solitary			 K
solo			 K
soluble			 N
solution			 K
solve			 U
some			 K
somebody			 K
somehow			 K
someone			 K
something			 K
sometime			 K
sometimes			 K
somewhat			 K
somewhere			 K
son			 K
song			 K
soon			 K
sophisticated			 K
sophomore			 K
sore			 K
sorrow			 U
sorry			 K
sort			 K
soul			 N
sound			 K
soup			 K
sour			 K
source			 K
south			 K
southeast			 K
southern			 K
southwest			 K
sovereign			 K
sow			 U
space			 K
spacecraft			 K
spaceship			 K
spacious			 N
spade			 U
span			 K
spare			 K
spark			 N
sparkle			 N
speak			 U
speaker			 K
spear			 N
special			 K
specialist			 K
speciality			 N
specialize			 K
species			 K
specific			 K
specification			 K
specify			 N
specimen			 U
spectacle			 U
spectacular			 U
spectator			 U
spectrum			 U
speculate			 K
speech			 K
speed			 K
spell			 K
spelling			 K
spend			 K
sphere			 K
spicy			 U
spider			 K
spill			 U
spin			 K
spine			 U
spiral			 U
spirit			 K
spiritual			 U
spit			 U
spite			 U
splash			 U
splendid			 U
split			 K
spoil			 U
spokesman			 K
sponge			 U
sponsor			 K
spontaneous			 U
spoon			 U
sport			 K
sportsman			 K
spot			 K
spouse			 U
spray			 U
spread			 K
spring			 K
sprinkle			 U
sprout			 U
spur			 U
spy			 K
square			 K
squeeze			 K
squirrel			 U
stab			 U
stability			 U
stable			 K
stack			 K
stadium			 U
staff			 K
stage			 U
stagger			 U
stain			 U
stair			 K
staircase			 U
stake			 U
stale			 U
stalk			 K
stall			 U
stamp			 U
stand			 K
standard			 K
standpoint			 K
staple			 U
star			 K
stare			 U
start			 K
startle			 U
starve			 K
state			 K
statement			 K
statesman			 U
static			 K
station			 K
stationary			 U
stationery			 U
statistical			 U
statue			 K
status			 K
statute			 U
stay			 K
steady			 U
steak			 U
steal			 K
steam			 U
steamer			 U
steel			 K
steep			 U
steer			 U
stem			 U
step			 K
stereo			 K
stereotype			 K
stern			 U
steward			 U
stick			 K
sticky			 K
stiff			 U
still			 K
stimulate			 K
sting			 U
stir			 U
stitch			 U
stock			 K
stocking			 K
stomach			 U
stone			 K
stool			 U
stoop			 U
stop			 K
storage			 K
store			 K
storey			 K
storm			 K
story			 K
stove			 U
straight			 K
straightforward			 K
strain			 U
strange			 K
stranger			 K
strap			 U
strategy			 K
straw			 U
strawberry			 U
stream			 K
streamline			 K
street			 K
strength			 K
strengthen			 K
strenuous			 U
stress			 U
stretch			 U
strict			 U
stride			 U
strife			 U
strike			 K
striking			 U
string			 U
strip			 K
stripe			 K
strive			 U
stroke			 U
stroll			 U
strong			 K
structure			 K
struggle			 U
stubborn			 U
student			 K
studio			 K
study			 K
stuff			 K
stumble			 K
stun			 U
stupid			 K
sturdy			 U
style			 K
subject			 K
subjective			 U
submarine			 U
submerge			 U
submit			 K
subordinate			 U
subscribe			 N
subsequent			 U
subsidy			 U
substance			 U
substantial			 U
substitute			 U
subtle			 U
subtract			 U
			 K
suburb			 U
subway			 K
succeed			 K
success			 K
successful			 K
succession			 U
successive			 U
successor			 K
such			 K
suck			 K
sudden			 U
sue			 U
suffer			 K
suffice			 U
sufficient			 K
sugar			 K
suggest			 K
suggestion			 K
suicide			 K
suit			 K
suitable			 K
suite			 U
sulfur			 U
sum			 K
summarize			 K
summary			 K
summer			 K
summit			 K
summon			 U
sun			 K
Sunday			 K
sunrise			 K
sunset			 K
sunshine			 K
super			 K
superb			 U
superficial			 U
superfluous			 U
superior			 U
superiority			 U
supermarket			 U
supersonic			 U
superstition			 U
supervise			 K
supper			 K
supplement			 U
supply			 K
support			 K
suppose			 K
suppress			 U
supreme			 U
sure			 K
surface			 K
surge			 U
surgeon			 U
surgery			 U
surname			 K
surpass			 U
surplus			 K
surprise			 K
surrender			 U
surround			 K
surroundings			 K
survey			 U
survival			 K
survive			 K
susceptible			 U
suspect			 K
suspend			 K
suspicion			 U
suspicious			 U
sustain			 K
swallow			 U
swamp			 U
swan			 K
swarm			 U
sway			 U
swear			 K
sweat			 U
sweater			 U
sweep			 N
sweet			 N
swell			 U
swift			 K
swim			 U
swing			 U
switch			 U
sword			 K
symbol			 K
symmetry			 K
sympathetic			 N
sympathize			 N
sympathy			 N
symphony			 U
symposium			 U
symptom			 U
syndrome			 U
synthesis			 K
synthetic			 K
system			 K
systematic			 K
table			 K
tablet			 U
tackle			 U
tactic			 K
tag			 K
tail			 K
tailor			 K
take			 K
tale			 K
talent			 K
talk			 K
tall			 K
tame			 U
tan			 U
tangle			 K
tank			 K
tanker			 K
tap			 K
tape			 K
tar			 U
target			 K
tariff			 U
task			 K
taste			 K
tax			 K
taxi			 K
tea			 K
teach			 K
teacher			 K
team			 K
tear			 U
tease			 K
technical			 K
technician			 K
technique			 K
technology			 K
tedious			 U
teenager			 K
telegram			 K
telegraph			 K
telephone			 K
telescope			 K
tell			 K
temper			 K
temperament			 U
temperature			 U
temple			 K
tempo			 K
temporary			 K
tempt			 K
temptation			 K
ten			 K
tenant			 K
tend			 K
tendency			 U
tender			 K
tennis			 U
tense			 U
tension			 K
tent			 K
tentative			 U
term			 K
terminal			 K
terminate			 K
terrible			 K
terrific			 K
terrify			 K
territory			 K
terror			 K
test			 K
testify			 K
testimony			 K
text			 K
textbook			 K
textile			 K
texture			 K
than			 K
thank			 K
Thanksgiving			 K
that			 K
the			 K
theater			 K
theft			 K
their			 K
theirs			 K
them			 K
theme			 K
themselves			 K
then			 K
theoretical			 U
theory			 K
therapy			 U
there			 K
thereafter			 K
thereby			 K
therefore			 K
thermal			 U
thermometer			 U
these			 K
thesis			 U
they			 K
thick			 K
thief			 K
thigh			 U
thin			 K
thing			 K
think			 K
third			 K
thirst			 K
thirsty			 K
thirteen			 U
thirty			 K
this			 K
thorn			 N
thorough			 N
those			 K
though			 K
thought			 K
thoughtful			 K
thousand			 K
thread			 K
threat			 K
threaten			 K
three			 K
threshold			 K
thrift			 U
thrill			 U
thrive			 N
throat			 K
throne			 K
through			 K
throughout			 K
throw			 K
thrust			 U
thumb			 K
thunder			 K
Thursday			 K
thus			 K
tick			 K
ticket			 K
tide			 K
tidy			 K
tie			 K
tiger			 K
tight			 U
tile			 U
till			 K
tilt			 U
timber			 N
			 K
time			 K
timely			 K
timid			 U
tin			 K
tiny			 K
tip			 K
tire			 U
tired			 U
tiresome			 U
tissue			 K
title			 K
to			 K
toast			 U
tobacco			 K
today			 K
toe			 K
together			 K
toilet			 K
token			 K
tolerance			 K
tolerant			 K
tolerate			 K
toll			 K
tomato			 K
tomb			 U
tomorrow			 K
ton			 K
tone			 K
tongue			 U
tonight			 K
too			 K
tool			 K
tooth			 K
top			 K
topic			 K
torch			 U
torment			 N
torrent			 K
torture			 N
toss			 U
total			 K
touch			 K
tough			 U
tour			 K
tourist			 K
tow			 N
toward			 U
towel			 U
tower			 K
town			 K
toxic			 K
toy			 K
trace			 K
track			 N
tractor			 K
trade			 K
trademark			 K
tradition			 K
traffic			 K
tragedy			 K
tragic			 U
trail			 N
train			 K
training			 K
trait			 K
traitor			 U
tram			 U
tramp			 U
transaction			 K
transcend			 U
transfer			 K
transform			 K
transient			 K
transistor			 U
transition			 U
translate			 K
translation			 K
transmission			 U
transmit			 U
transparent			 K
transplant			 K
transport			 K
trap			 K
trash			 K
travel			 K
tray			 U
treason			 U
treasure			 U
treat			 U
treaty			 U
tree			 K
tremble			 K
tremendous			 K
trench			 U
trend			 K
trial			 U
triangle			 K
tribe			 U
tribute			 K
trick			 U
trifle			 U
trigger			 K
trim			 U
trip			 K
triple			 K
triumph			 N
trivial			 U
trolley			 U
troop			 N
tropic			 U
tropical			 U
trouble			 K
troublesome			 K
trousers			 K
truck			 U
true			 K
trumpet			 N
trunk			 U
trust			 K
truth			 K
try			 K
tub			 U
tube			 U
tuck			 U
Tuesday			 K
tug			 K
tuition			 K
tumble			 U
tumour			 U
tune			 K
tunnel			 K
turbine			 K
turbulent			 N
turkey			 K
turn			 K
turnover			 K
tutor			 U
TV			 K
twelve			 K
twenty			 K
twice			 K
twin			 U
twinkle			 U
twist			 U
two			 K
type			 K
typewriter			 U
typhoon			 U
typical			 K
typist			 U
ugly			 K
ultimate			 K
ultraviolet			 U
umbrella			 K
unanimous			 U
uncle			 K
uncover			 N
under			 N
underestimate			 K
undergo			 K
undergraduate			 K
underground			 K
underlie			 U
underline			 K
underlying			 K
undermine			 U
underneath			 U
understand			 K
understanding			 K
undertake			 U
undo			 N
undoubtedly			 K
uneasy			 U
unemployment			 K
unexpected			 K
unfold			 K
unfortunately			 K
uniform			 K
unify			 U
union			 K
unique			 K
unit			 K
unite			 K
unity			 U
universal			 K
universe			 K
university			 U
unless			 K
unlike			 K
unlikely			 K
unload			 K
until			 K
unusual			 K
up			 K
update			 K
upgrade			 U
uphold			 U
upon			 U
upper			 K
upright			 U
uproar			 U
upset			 K
upstairs			 K
up-to-date			 K
upward			 K
urban			 K
urge			 K
urgent			 U
us			 K
usage			 K
use			 K
used			 K
useful			 K
usual			 K
usually			 K
utilize			 U
utmost			 U
utter			 U
vacant			 U
vacation			 U
vacuum			 K
vague			 K
vain			 K
valid			 K
valley			 K
valuable			 K
value			 K
valve			 K
van			 U
vanish			 U
vanity			 U
vapour			 U
variable			 K
variation			 K
variety			 K
various			 K
vary			 K
vase			 U
vast			 K
vegetable			 U
vegetarian			 U
vegetation			 U
vehicle			 K
veil			 U
vein			 U
velocity			 U
velvet			 U
ventilate			 U
venture			 U
verb			 U
			 K
verbal			 U
verdict			 U
verge			 U
verify			 K
versatile			 U
verse			 U
version			 U
versus			 K
vertical			 K
very			 K
vessel			 U
vest			 U
veteran			 U
veto			 U
via			 K
vibrate			 N
vice			 U
vicinity			 U
vicious			 U
victim			 K
victory			 K
video			 K
view			 K
viewpoint			 K
vigorous			 U
village			 K
vinegar			 U
violate			 N
violence			 N
violent			 N
violet			 N
violin			 K
virgin			 U
virtual			 N
virtue			 U
virus			 U
visa			 K
visible			 K
vision			 K
visit			 K
visitor			 K
visual			 K
vital			 U
vitamin			 K
vivid			 K
vocabulary			 K
vocal			 U
vocation			 U
voice			 K
void			 K
volcano			 U
volleyball			 K
volt			 U
voltage			 U
volume			 K
voluntary			 K
volunteer			 K
vote			 K
vowel			 U
voyage			 K
vulgar			 U
vulnerable			 U
wage			 K
wagon			 K
waist			 U
wait			 K
waiter			 K
waitress			 K
wake			 K
waken			 K
walk			 K
wall			 K
wallet			 K
wander			 U
want			 K
war			 K
ward			 U
wardrobe			 U
warehouse			 U
warfare			 U
warm			 K
warmth			 U
warn			 K
warrant			 K
wash			 K
waste			 K
watch			 K
watch			 K
water			 K
waterfall			 K
waterproof			 U
watt			 U
wave			 K
wax			 U
way			 K
we			 K
weak			 U
wealth			 K
wealthy			 K
weapon			 K
wear			 K
weary			 U
weather			 K
weave			 K
web			 K
wedding			 K
wedge			 U
Wednesday			 K
weed			 U
week			 K
weekday			 K
weekend			 K
weekly			 K
weep			 U
weigh			 U
weight			 K
weird			 U
welcome			 K
weld			 U
welfare			 K
well			 U
well-known			 K
west			 K
western			 K
wet			 K
whale			 U
what			 K
whatever			 K
whatsoever			 K
wheat			 U
wheel			 K
when			 K
whenever			 K
where			 K
whereas			 U
wherever			 K
whether			 K
which			 K
whichever			 K
while			 K
whip			 U
whirl			 U
whisky			 U
whisper			 U
whistle			 U
white			 K
who			 K
whoever			 K
whole			 K
wholesome			 U
wholly			 U
whom			 K
whose			 K
why			 K
wicked			 N
wide			 K
widespread			 K
widow			 K
width			 K
wife			 K
wild			 K
will			 K
willing			 K
win			 K
wind			 K
window			 K
wine			 K
wing			 K
wink			 U
winter			 K
wipe			 U
wire			 U
wisdom			 K
wise			 K
wish			 K
wit			 K
witch			 K
with			 K
withdraw			 K
withhold			 K
within			 K
without			 U
withstand			 U
witness			 K
wolf			 K
woman			 K
wonder			 U
wonderful			 K
wood			 K
wooden			 K
wool			 U
word			 U
work			 K
worker			 K
workshop			 K
world			 K
worldwide			 K
worm			 K
worry			 K
worse			 K
worship			 K
worst			 K
worth			 K
worthwhile			 K
worthy			 K
would			 K
wound			 K
wrap			 K
wreath			 U
wreck			 K
wrench			 K
wretched			 U
wrinkle			 K
wrist			 K
write			 K
writing			 K
wrong			 K
X-ray			 K
yard			 K
yawn			 U
year			 K
yearly			 K
yell			 K
yellow			 K
yes			 K
yesterday			 K
yet			 K
yield			 K
you			 K
young			 K
youngster			 K
your			 K
yours			 K
yourself			 K
youth			 K
zeal			 U
zebra			 U
zero			 K
zigzag			 U
zinc			 U
zip			 K
zone			 K
zoo			 K
zoom			 U
