a			 K
difficulty			 K
diffuse			 U
dig			 K
digest			 U
digital			 K
dignity			 U
dilemma			 K
diligent			 N
dilute			 U
dim			 U
dimension			 K
diminish			 U
dine			 U
dinner			 K
dip			 U
diploma			 U
diplomatic			 U
direct			 N
direction			 K
directly			 K
director			 K
directory			 K
dirt			 U
dirty			 K
disable			 N
disappear			 K
disappoint			 K
disaster			 K
disastrous			 K
disc			 U
discard			 K
discern			 U
discharge			 N
discipline			 N
disclose			 K
discount			 N
discourage			 K
discourse			 U
discover			 K
discovery			 K
discreet			 U
discrepancy			 U
discriminate			 N
discuss			 K
disease			 U
disgrace			 U
disguise			 U
disgust			 U
dish			 K
dislike			 K
dismay			 U
dismiss			 K
disorder			 K
disperse			 U
displace			 K
display			 K
disposal			 U
dispose			 U
disposition			 U
dispute			 N
disregard			 K
disrupt			 U
dissipate			 U
dissolve			 U
distance			 K
distant			 U
distill			 U
distinct			 N
distinction			 N
distinguish			 N
distort			 N
distract			 U
distress			 U
distribute			 K
district			 U
disturb			 K
disturbance			 K
ditch			 U
dive			 N
diverse			 N
diversion			 N
divert			 U
divide			 N
dividend			 N
divine			 U
division			 N
divorce			 K
dizzy			 U
do			 K
dock			 U
doctor			 K
doctorate			 U
document			 K
documentary			 K
dog			 K
doll			 U
dollar			 K
domain			 K
dome			 K
domestic			 K
dominant			 K
dominate			 K
donate			 U
donkey			 U
doom			 U
door			 K
doorway			 U
dorm			 U
dose			 U
dot			 K
doubt			 K
dove			 U
down			 K
downstairs			 N
downtown			 N
downward			 K
doze			 K
dozen			 K
draft			 K
drag			 K
dragon			 K
drain			 U
drama			 N
dramatic			 K
drastic			 U
draw			 K
drawback			 K
drawer			 K
drawing			 K
dread			 U
dream			 K
dress			 U
drift			 N
drill			 U
drink			 K
drip			 U
drive			 K
driver			 K
drop			 K
			 K
drought			 U
drown			 U
drug			 K
drum			 U
drunk			 K
dry			 K
dubious			 N
duck			 U
due			 K
dull			 U
dumb			 U
dump			 K
duplicate			 K
durable			 N
duration			 K
during			 K
dusk			 U
dust			 U
duty			 K
dwarf			 U
dwell			 N
dwelling			 N
dye			 U
dynamic			 K
dynasty			 U
each			 K
eager			 N
eagle			 U
ear			 K
early			 K
earn			 K
earnest			 K
earth			 K
earthquake			 K
ease			 K
east			 K
Easter			 K
eastern			 K
easy			 K
eat			 K
ebb			 U
eccentric			 K
echo			 K
eclipse			 K
ecology			 K
economic			 K
economical			 K
economics			 K
economy			 K
edge			 K
edible			 K
edit			 K
edition			 K
editor			 K
editorial			 K
educate			 K
education			 K
effect			 K
effective			 K
efficiency			 K
efficient			 K
effort			 K
egg			 K
ego			 U
eight			 K
eighteen			 K
eighty			 K
either			 K
eject			 N
elaborate			 K
elapse			 K
elastic			 N
elbow			 K
elder			 K
elderly			 K
elect			 K
electric			 K
electrical			 K
electrician			 K
electricity			 K
electron			 K
electronic			 K
elegant			 K
element			 K
elementary			 K
elephant			 K
elevate			 K
elevator			 K
eleven			 K
eligible			 K
eliminate			 K
elite			 K
eloquent			 K
else			 K
elsewhere			 K
e-mail			 K
embark			 K
embarrass			 K
embassy			 K
embed			 K
embody			 K
embrace			 K
emerge			 K
emergency			 K
emigrate			 K
eminent			 N
emit			 K
emotion			 K
emperor			 K
emphasis			 K
emphasize			 K
empire			 K
empirical			 N
employ			 K
employee			 K
employer			 K
employment			 K
empty			 K
enable			 K
enclose			 K
enclosure			 K
encounter			 K
encourage			 K
encyclopedia			 K
end			 K
endeavor			 N
ending			 K
endow			 N
endurance			 U
endure			 K
enemy			 K
energetic			 N
energy			 K
enforce			 K
engage			 K
engagement			 K
engine			 K
engineer			 K
engineering			 K
enhance			 K
enjoy			 K
enlarge			 K
enlighten			 K
enormous			 K
enough			 K
enquire			 U
enrich			 K
enroll			 U
ensure			 N
entail			 U
enter			 K
enterprise			 K
entertain			 K
entertainment			 K
enthusiasm			 K
enthusiastic			 K
entire			 K
entitle			 N
entity			 K
entrance			 K
entrepreneur			 U
entry			 U
envelope			 K
environment			 K
envisage			 N
envy			 K
epidemic			 N
episode			 N
epoch			 U
equal			 K
equality			 K
equation			 K
equator			 K
equip			 K
equipment			 K
equivalent			 K
era			 U
erase			 K
erect			 N
erosion			 U
erroneous			 U
error			 K
erupt			 U
escalate			 U
escape			 K
escort			 N
especially			 K
essay			 K
essence			 K
essential			 K
establish			 K
establishment			 K
estate			 K
esteem			 U
estimate			 K
eternal			 U
ethnic			 K
evacuate			 U
evade			 U
evaluate			 K
evaporate			 U
eve			 N
even			 K
evening			 K
event			 K
eventually			 K
ever			 K
every			 K
everybody			 K
everyday			 K
everyone			 K
everything			 K
everywhere			 K
evidence			 K
evident			 K
evil			 K
evoke			 N
evolution			 K
evolve			 K
exact			 K
exaggerate			 U
exam			 K
examine			 K
example			 K
exceed			 K
exceedingly			 N
excel			 N
excellent			 K
except			 K
exception			 K
exceptional			 K
excerpt			 N
excess			 K
excessive			 K
exchange			 N
excite			 N
excitement			 K
exciting			 K
exclaim			 N
exclude			 K
exclusive			 K
excursion			 U
excuse			 K
execute			 K
executive			 K
exemplify			 U
exempt			 U
exercise			 K
exert			 U
exhaust			 N
			 K
exhibit			 K
exhibition			 K
exile			 U
exist			 K
existence			 K
exit			 K
exotic			 K
expand			 K
expansion			 K
expect			 K
expectation			 K
expedition			 U
expel			 U
expend			 K
expenditure			 K
expense			 K
expensive			 K
experience			 K
experiment			 K
experimental			 K
expert			 K
expertise			 K
expire			 K
explain			 K
explanation			 K
explicit			 K
explode			 U
exploit			 U
explore			 K
explosion			 K
explosive			 K
export			 K
expose			 U
exposure			 U
express			 N
expression			 K
