a			 K K
central			 K K
centre			 K K
century			 K K
cereal			 U U
ceremony			 N N
certain			 K K
certainly			 K K
certainty			 K K
certificate			 K K
certify			 K K
chain			 K K
chair			 K K
chairman			 K K
chalk			 U U
challenge			 K K
chamber			 U U
champagne			 K K
NULL			 K K
champion			 K K
chance			 K K
chancellor			 U U
change			 K K
channel			 K K
chaos			 N N
chap			 U U
chapter			 K K
character			 K K
characteristic			 K K
characterize			 N N
charge			 N N
charity			 N N
charm			 N N
chart			 K K
charter			 U N
chase			 K K
chat			 K K
cheap			 K K
cheat			 U N
cheek			 U U
cheer			 U N
cheese			 N N
chef			 U U
chemical			 K K
chemist			 K K
chemistry			 N N
cheque			 U U
cherish			 U N
cherry			 K K
chess			 K K
chest			 U U
chew			 N N
chicken			 K K
chief			 K K
child			 K K
childhood			 K K
chill			 U N
chimney			 U U
chin			 U U
china			 K K
chip			 N N
chocolate			 K K
choice			 K K
choke			 U U
choose			 K K
chop			 K K
chorus			 U U
Christ			 U U
Christian			 U N
Christmas			 K K
chronic			 K K
church			 N N
cigar			 K K
cigaret			 K K
cinema			 K K
circle			 K K
circuit			 K K
circular			 K K
circulate			 N N
circumference			 U U
circus			 N N
cite			 K K
citizen			 U N
city			 K K
civil			 K K
civilian			 K K
civilization			 K K
civilize			 K K
claim			 N N
clap			 K K
clarify			 K K
clarity			 K K
clash			 K K
clasp			 K K
class			 K K
classic			 K K
classical			 K K
classification			 K K
classify			 K K
classmate			 K K
classroom			 K K
clause			 U U
claw			 U N
clay			 U U
clean			 K K
clear			 K K
clergy			 U U
clerk			 U U
clever			 K K
click			 K K
client			 K K
cliff			 K K
climate			 K K
climax			 K K
climb			 K K
cling			 N N
clinic			 U U
clip			 K K
cloak			 U N
clock			 K K
clockwise			 K K
clone			 K K
close			 K K
closet			 K K
cloth			 K K
clothe			 N N
clothes			 K K
clothing			 N N
cloud			 K K
cloudy			 N N
club			 K K
clue			 K K
clumsy			 U N
cluster			 K K
clutch			 N N
coach			 K K
coal			 U U
coalition			 U U
coarse			 U U
coast			 U U
coat			 U U
cocaine			 K K
cock			 K K
code			 K K
coffee			 K K
cognitive			 K K
coherent			 U N
cohesive			 U U
coil			 U N
coin			 K K
coincide			 K K
coincidence			 K K
coke			 U U
cold			 K K
collaborate			 K K
collapse			 K K
collar			 U U
colleague			 K K
collect			 K K
collection			 K K
collective			 K K
college			 K K
collide			 U N
collision			 K K
colonel			 U N
colonial			 U N
colony			 U N
color			 K K
column			 K K
comb			 K K
combat			 K K
combination			 K K
combine			 K K
come			 K K
comedy			 K K
comfort			 K K
comfortable			 K K
comic			 U N
command			 K K
commemorate			 K K
commence			 U U
commend			 U N
comment			 K K
commerce			 U U
commercial			 U U
commission			 U U
commit			 U N
committee			 K K
commodity			 K K
common			 K K
commonplace			 U N
commonwealth			 U U
communicate			 K K
communication			 K K
communism			 U U
community			 K K
commute			 K K
compact			 K K
companion			 K K
company			 K K
comparable			 K K
comparative			 K K
compare			 K K
comparison			 N N
compartment			 U N
compass			 K K
compassion			 U U
compatible			 U N
compel			 K K
compensate			 N N
compensation			 U N
compete			 K K
competent			 N N
competition			 N N
competitive			 K K
compile			 K K
complain			 K K
complaint			 K K
complement			 U N
complete			 K K
complex			 K K
complicate			 K K
complicated			 K K
complication			 N N
compliment			 U N
comply			 U N
component			 K K
compose			 K K
composite			 U N
composition			 U N
compound			 U N
comprehend			 U N
comprehension			 K K
comprehensive			 N N
compress			 U U
comprise			 U U
compromise			 U N
compulsory			 U U
compute			 K K
computer			 K K
comrade			 U N
conceal			 U U
concede			 K K
conceive			 N N
concentrate			 U N
concentration			 U N
concept			 K K
concern			 K K
concerning			 K K
concert			 K K
concession			 K K
concise			 U N
conclude			 K K
conclusion			 K K
concrete			 U N
condemn			 U U
condense			 U U
condition			 K K
conduct			 K K
conductor			 K K
confer			 U U
conference			 U N
confess			 U U
confidence			 K K
confident			 K K
confidential			 K K
confine			 U N
confirm			 K K
conflict			 K K
NULL			 K K
conform			 N N
confront			 K K
confuse			 K K
confusion			 K K
congratulate			 N N
congratulation			 K K
congress			 N N
conjunction			 K K
connect			 K K
connection			 K K
conquer			 K K
conquest			 K K
conscience			 K K
conscientious			 K K
conscious			 K K
consecutive			 N N
consensus			 K K
consent			 K K
consequence			 N N
consequently			 K K
conservation			 K K
conservative			 K K
consider			 K K
considerable			 K K
considerate			 K K
consideration			 K K
consist			 K K
consistent			 K K
console			 N N
consolidate			 N N
conspicuous			 U U
conspiracy			 N N
constant			 K K
constituent			 N N
constitute			 U N
constitution			 U N
constrain			 K K
construct			 K K
construction			 N N
consult			 K K
consultant			 K K
consume			 K K
consumption			 K K
contact			 K K
contain			 K K
container			 K K
contaminate			 U U
contemplate			 K K
contemporary			 K K
contempt			 U N
contend			 U N
content			 K K
contest			 N N
context			 K K
continent			 U N
continual			 K K
continue			 K K
continuous			 K K
contract			 K K
contradict			 K K
contradiction			 K K
contrary			 U U
contrast			 U N
contribute			 K K
contribution			 K K
contrive			 N N
control			 K K
controversial			 N N
controversy			 N N
convenience			 K K
convenient			 K K
convention			 U N
conventional			 U N
conversation			 K K
conversely			 U U
conversion			 U N
convert			 K K
convey			 K K
convict			 K K
conviction			 K K
convince			 K K
cook			 K K
cool			 K K
cooperate			 K K
cooperative			 K K
coordinate			 K K
coordinate			 K K
cop			 K K
cope			 U N
copper			 U N
copy			 K K
copyright			 K K
cord			 U U
cordial			 U U
core			 K K
corn			 N N
corner			 K K
corporation			 N N
correct			 K K
correlate			 N N
correspond			 K K
correspondence			 K K
correspondent			 K K
corresponding			 K K
corridor			 U U
corrode			 U U
corrupt			 U N
cosmic			 K K
cost			 K K
costly			 K K
costume			 K K
cosy			 U U
cottage			 U U
cotton			 U U
couch			 K K
cough			 U N
could			 K K
council			 N N
counsel			 K K
count			 K K
counter			 K K
counterpart			 K K
country			 K K
countryside			 K K
county			 K K
couple			 K K
coupon			 N N
courage			 K K
course			 U N
court			 K K
courtesy			 U U
courtyard			 N N
cousin			 U N
cover			 K K
cow			 U N
coward			 N N
crab			 U U
crack			 K K
cradle			 U U
craft			 K K
crane			 U U
crash			 N N
crawl			 U N
crazy			 K K
cream			 K K
create			 K K
creative			 K K
creature			 K K
credential			 U U
credit			 K K
creep			 K K
crew			 U U
cricket			 U U
crime			 K K
criminal			 K K
cripple			 U U
crisis			 K K
crisp			 U N
criterion			 K K
critic			 K K
critical			 K K
criticism			 K K
criticize			 K K
crop			 K K
cross			 K K
