a			 K K K K
bulk			 U N N N
bull			 U N N N
bullet			 K K K K
bulletin			 U U N N
bully			 U U U U
bump			 U N N N
bunch			 K K K K
bundle			 K K K K
burden			 K K K K
bureau			 K K K K
bureaucracy			 K K K K
burglar			 U U N N
burn			 K K K K
burst			 U U N N
bury			 U U U U
bus			 K K K K
bush			 U U N N
business			 K K K K
busy			 K K K K
but			 K K K K
butcher			 U N N N
butter			 K K K K
butterfly			 K K K K
button			 K K K K
buy			 K K K K
by			 K K K K
bypass			 N N N N
cab			 U U U U
cabbage			 U N N N
cabin			 K K K K
cabinet			 K K K K
cable			 N N N N
cafe			 K K K K
cafeteria			 U U U U
cage			 U U N N
cake			 K K K K
calcium			 U N N N
calculate			 K K K K
calendar			 K K K K
call			 K K K K
calm			 N N N N
calorie			 K K K K
camel			 K K K K
camera			 U N N N
camp			 U N N N
campaign			 K K K K
campus			 U N N N
can			 K K K K
canal			 U U U U
cancel			 K K K K
cancer			 K K K K
candidate			 K K K K
candle			 U N N N
candy			 K K K K
cannon			 K K K K
canoe			 U U U U
canteen			 U U U U
canvas			 K K K K
cap			 K K K K
capable			 K K K K
capacity			 K K K K
cape			 U U N N
capital			 N N N N
capitalism			 K K K K
capsule			 K K K K
captain			 U N N N
captive			 U N N N
capture			 K K K K
car			 K K K K
carbohydrate			 U U U N
carbon			 U U U U
card			 K K K K
cardinal			 U U N N
care			 K K K K
career			 K K K K
careful			 K K K K
caress			 N N N N
cargo			 K K K K
carpenter			 K K K K
carpet			 U U U U
carriage			 N N N N
carrier			 K K K K
carrot			 K K K K
carry			 K K K K
cart			 K K K K
cartoon			 K K K K
carve			 K K K K
case			 K K K K
cash			 K K K K
cashier			 K K K K
cassette			 K K K K
cast			 K K K K
castle			 K K K K
casual			 N N N N
casualty			 N N N N
cat			 K K K K
catalog			 K K K K
catastrophe			 K K K K
catch			 K K K K
category			 K K K K
cater			 U U U U
cathedral			 U U U U
Catholic			 U U U N
cattle			 K K K K
cause			 N N N N
caution			 N N N N
cautious			 N N N N
cave			 K K K K
cease			 K K K K
ceiling			 K K K K
celebrate			 K K K K
celebrity			 K K K K
cell			 K K K K
cellar			 K K K K
cement			 U N N N
cemetery			 U U N N
census			 U U U N
cent			 U U U N
centigrade			 K K K K
centimetre			 K K K K
central			 K K K K
centre			 K K K K
century			 K K K K
cereal			 U U N N
ceremony			 N N N N
certain			 K K K K
certainly			 K K K K
certainty			 K K K K
certificate			 K K K K
certify			 K K K K
chain			 K K K K
chair			 K K K K
chairman			 K K K K
chalk			 U U U U
challenge			 K K K K
chamber			 U U U U
champagne			 K K K K
NULL			 K K K K
champion			 K K K K
chance			 K K K K
chancellor			 U U N N
change			 K K K K
channel			 K K K K
chaos			 N N N N
chap			 U U N N
chapter			 K K K K
character			 K K K K
characteristic			 K K K K
characterize			 N N N N
charge			 N N N N
charity			 N N N N
charm			 N N N N
chart			 K K K K
charter			 U N N N
chase			 K K K K
chat			 K K K K
cheap			 K K K K
cheat			 U N N N
cheek			 U U U U
cheer			 U N N N
cheese			 N N N N
chef			 U U U U
chemical			 K K K K
chemist			 K K K K
chemistry			 N N N N
cheque			 U U U N
cherish			 U N N N
cherry			 K K K K
chess			 K K K K
chest			 U U U U
chew			 N N N N
chicken			 K K K K
chief			 K K K K
child			 K K K K
childhood			 K K K K
chill			 U N N N
chimney			 U U U U
chin			 U U U N
china			 K K K K
chip			 N N N N
chocolate			 K K K K
choice			 K K K K
choke			 U U N N
choose			 K K K K
chop			 K K K K
chorus			 U U U U
Christ			 U U N N
Christian			 U N N N
Christmas			 K K K K
chronic			 K K K K
church			 N N N N
cigar			 K K K K
cigaret			 K K K K
cinema			 K K K K
circle			 K K K K
circuit			 K K K K
circular			 K K K K
circulate			 N N N N
circumference			 U U U N
circus			 N N N N
cite			 K K K K
citizen			 U N N N
city			 K K K K
civil			 K K K K
civilian			 K K K K
civilization			 K K K K
civilize			 K K K K
claim			 N N N N
clap			 K K K K
clarify			 K K K K
clarity			 K K K K
clash			 K K K K
clasp			 K K K K
class			 K K K K
classic			 K K K K
classical			 K K K K
classification			 K K K K
classify			 K K K K
classmate			 K K K K
classroom			 K K K K
clause			 U U U U
claw			 U N N N
clay			 U U U U
clean			 K K K K
clear			 K K K K
clergy			 U U N N
clerk			 U U N N
clever			 K K K K
click			 K K K K
client			 K K K K
cliff			 K K K K
climate			 K K K K
climax			 K K K K
climb			 K K K K
cling			 N N N N
clinic			 U U U U
clip			 K K K K
cloak			 U N N N
clock			 K K K K
clockwise			 K K K K
clone			 K K K K
close			 K K K K
closet			 K K K K
cloth			 K K K K
clothe			 N N N N
clothes			 K K K K
clothing			 N N N N
cloud			 K K K K
cloudy			 N N N N
club			 K K K K
clue			 K K K K
clumsy			 U N N N
cluster			 K K K K
clutch			 N N N N
coach			 K K K K
coal			 U U U N
coalition			 U U U U
coarse			 U U U U
coast			 U U U U
coat			 U U N N
cocaine			 K K K K
cock			 K K K K
code			 K K K K
coffee			 K K K K
