a			 K K K K
map			 K K K K
marble			 U N N N
march			 K K K K
March			 K K K K
margin			 K K K K
marginal			 K K K K
marine			 U N N N
marital			 U U U U
mark			 K K K K
market			 K K K K
marriage			 U N N N
married			 K K K K
marry			 K K K K
marvelous			 U N N N
Marxist			 K K K K
masculine			 U U U U
mask			 N N N N
mass			 U U N N
massacre			 U U N N
massive			 U U N N
master			 K K K K
masterpiece			 U U N N
mat			 U U U U
match			 U N N N
mate			 U N N N
material			 N N N N
mathematical			 K K K K
maths			 K K K K
matter			 K K K K
mature			 U N N N
maximum			 K K K K
may			 K K K K
May			 K K K K
maybe			 K K K K
mayor			 N N N N
me			 K K K K
meadow			 U U U U
meal			 U N N N
mean			 K K K K
meaning			 K K K K
means			 K K K K
meantime			 U N N N
meanwhile			 U N N N
measure			 K K K K
meat			 N N N N
mechanic			 U U N N
mechanical			 U U N N
mechanism			 U U N N
medal			 K K K K
medical			 N N N N
medicine			 N N N N
medieval			 U U U U
meditate			 U U U U
meditation			 U U U U
medium			 N N N N
meet			 K K K K
meeting			 K K K K
melody			 U U U U
melon			 U U U U
melt			 N N N N
member			 N N N N
membership			 K K K K
memo			 U U U U
memorial			 U U U U
memory			 K K K K
menace			 U U U U
mend			 K K K K
mental			 U N N N
mention			 U N N N
menu			 K K K K
merchandise			 U U U U
merchant			 N N N N
mercury			 U U U U
mercy			 U N N N
NULL			 K K K K
mere			 U N N N
merely			 K K K K
merge			 K K K K
merit			 U U U U
merry			 K K K K
mess			 U U N N
message			 K K K K
messenger			 K K K K
metal			 U N N N
metaphor			 U U U U
method			 K K K K
metre			 U U U U
metric			 U N N N
metropolitan			 U U U U
microphone			 K K K K
microscope			 K K K K
middle			 K K K K
midst			 K K K K
might			 K K K K
migrate			 U U N N
mild			 K K K K
mile			 K K K K
militant			 U U U U
military			 U N N N
milk			 K K K K
mill			 U N N N
millimeter			 U N N N
million			 K K K K
millionaire			 U U N N
mind			 K K K K
mine			 K K K K
mineral			 U N N N
mingle			 K K K K
miniature			 U N N N
minimize			 K K K K
minimum			 K K K K
minister			 U U N N
ministry			 U N N N
minor			 U N N N
minority			 U N N N
minus			 K K K K
minute			 U N N N
miracle			 K K K K
mirror			 K K K K
mischief			 U N N N
miserable			 U N N N
misery			 U N N N
misfortune			 U N N N
mislead			 K K K K
miss			 K K K K
missile			 U U U U
missing			 K K K K
mission			 U N N N
missionary			 N N N N
mist			 U U U U
mistake			 K K K K
mistress			 U U N N
misunderstand			 K K K K
mix			 K K K K
mixture			 K K K K
moan			 U N N N
mob			 U N N N
mobile			 K K K K
mobilize			 U N N N
mock			 U N N N
mode			 K K K K
model			 K K K K
moderate			 K K K K
modern			 K K K K
modernization			 K K K K
modest			 U N N N
modify			 K K K K
module			 K K K K
moist			 K K K K
moisture			 U N N N
molecule			 U U U U
moment			 K K K K
momentum			 U U U U
monarch			 U U U U
Monday			 K K K K
monetary			 U N N N
money			 K K K K
monitor			 K K K K
monkey			 K K K K
monopoly			 K K K K
monotonous			 U N N N
monster			 N N N N
month			 K K K K
monthly			 K K K K
monument			 U U U U
mood			 U U U U
moon			 K K K K
moral			 U N N N
morality			 U N N N
more			 K K K K
moreover			 U N N N
morning			 K K K K
mortal			 U U U U
mortgage			 K K K K
mosaic			 U N N N
mosquito			 U U U U
moss			 U U U U
most			 U N N N
mostly			 U N N N
motel			 K K K K
mother			 K K K K
motion			 K K K K
motivate			 K K K K
motive			 K K K K
motor			 K K K K
mould			 U U U U
mount			 U N N N
mountain			 K K K K
mourn			 U U U U
mouse			 K K K K
mouth			 K K K K
move			 K K K K
movement			 K K K K
movie			 K K K K
much			 K K K K
mud			 K K K K
mug			 U U U U
multiple			 N N N N
multiply			 K K K K
multitude			 N N N N
municipal			 U U U U
murder			 K K K K
murmur			 U N N N
muscle			 N N N N
muscular			 U U U N
museum			 K K K K
mushroom			 U N N N
music			 K K K K
musical			 K K K K
musician			 K K K K
must			 K K K K
mute			 U N N N
mutter			 U U U U
mutton			 U U U U
mutual			 U U U U
my			 K K K K
myself			 K K K K
mysterious			 K K K K
mystery			 K K K K
myth			 K K K K
nail			 N N N N
naive			 K K K K
naked			 U U U U
name			 K K K K
namely			 K K K K
nap			 U U U U
napkin			 U U U U
narrative			 U U U U
narrow			 N N N N
nasty			 U N N N
nation			 K K K K
national			 K K K K
nationality			 K K K K
native			 N N N N
natural			 U N N N
nature			 N N N N
naughty			 U U U U
naval			 U U U U
navigation			 N N N N
navy			 K K K K
near			 K K K K
nearby			 K K K K
nearly			 N N N N
neat			 U U U U
necessary			 K K K K
necessitate			 U U U U
necessity			 U N N N
neck			 K K K K
necklace			 K K K K
need			 K K K K
needle			 U U U U
negative			 K K K K
neglect			 K K K K
negligible			 N N N N
negotiate			 N N N N
Negro			 K K K K
neighbor			 K K K K
neighborhood			 K K K K
neither			 K K K K
nephew			 U U U U
nerve			 K K K K
nervous			 N N N N
nest			 N N N N
net			 K K K K
network			 K K K K
neutral			 U N N N
never			 K K K K
nevertheless			 K K K K
new			 K K K K
news			 K K K K
newspaper			 K K K K
next			 K K K K
nice			 K K K K
nickel			 U N N N
nickname			 K K K K
niece			 U U U U
night			 K K K K
nightmare			 K K K K
nine			 K K K K
nineteen			 K K K K
ninety			 K K K K
nitrogen			 K K K K
no			 K K K K
noble			 U N N N
nobody			 K K K K
nod			 K K K K
noise			 K K K K
noisy			 K K K K
nominal			 K K K K
nominate			 K K K K
none			 K K K K
nonetheless			 K K K K
nonsense			 U N N N
noodle			 K K K K
noon			 U U U U
nor			 U N N N
norm			 K K K K
normal			 K K K K
normalization			 K K K K
north			 K K K K
northeast			 K K K K
northern			 K K K K
northwest			 K K K K
nose			 K K K K
not			 K K K K
notable			 K K K K
note			 K K K K
notebook			 K K K K
nothing			 K K K K
notice			 K K K K
noticeable			 K K K K
notify			 K K K K
notion			 K K K K
notorious			 U N N N
notwithstanding			 U N N N
noun			 N N N N
nourish			 N N N N
novel			 K K K K
novelty			 K K K K
November			 K K K K
now			 K K K K
nowadays			 K K K K
nowhere			 K K K K
nuclear			 K K K K
nucleus			 N N N N
NULL			 K K K K
nuisance			 N N N N
numb			 K K K K
number			 K K K K
numerical			 K K K K
numerous			 N N N N
nurse			 N N N N
nursery			 N N N N
nurture			 U U U U
nut			 U U U U
nutrition			 K K K K
nylon			 K K K K
oak			 K K K K
oar			 K K K K
oath			 N N N N
obedience			 N N N N
obedient			 N N N N
obey			 K K K K
object			 K K K K
objection			 K K K K
objective			 K K K K
obligation			 N N N N
oblige			 N N N N
obscure			 K K K K
observation			 N N N N
observe			 K K K K
obsession			 K K K K
obsolete			 N N N N
obstacle			 K K K K
obstruct			 K K K K
obstruction			 K K K K
obtain			 K K K K
obvious			 K K K K
occasion			 N N N N
occasional			 N N N N
occupation			 N N N N
occupy			 K K K K
occur			 N N N N
occurrence			 N N N N
ocean			 K K K K
o'clock			 U N N N
October			 K K K K
odd			 K K K K
odds			 K K K K
odor			 U U U U
of			 K K K K
off			 K K K K
offend			 N N N N
offensive			 K K K K
offer			 K K K K
office			 K K K K
officer			 K K K K
official			 K K K K
offset			 K K K K
offspring			 N N N N
often			 K K K K
oil			 K K K K
okay			 K K K K
old			 K K K K
omit			 K K K K
on			 K K K K
once			 K K K K
one			 K K K K
oneself			 K K K K
onion			 K K K K
only			 K K K K
onto			 K K K K
opaque			 K K K K
open			 K K K K
opening			 K K K K
opera			 N N N N
operate			 K K K K
operation			 K K K K
operational			 K K K K
operator			 K K K K
opinion			 K K K K
opponent			 K K K K
opportunity			 K K K K
oppose			 N N N N
opposite			 N N N N
oppress			 N N N N
opt			 U N N N
optical			 K K K K
optimistic			 N N N N
optimum			 U N N N
option			 K K K K
optional			 K K K K
or			 K K K K
oral			 K K K K
orange			 K K K K
orbit			 U U U U
orchard			 U U U U
orchestra			 U U U U
order			 K K K K
orderly			 U N N N
ordinary			 U N N N
ore			 U U U U
organ			 U N N N
organic			 U N N N
organism			 U U U U
organization			 K K K K
organize			 K K K K
orient			 U N N N
oriental			 U N N N
orientation			 U N N N
origin			 K K K K
original			 K K K K
originate			 N N N N
ornament			 N N N N
orphan			 U U U U
orthodox			 N N N N
other			 K K K K
otherwise			 K K K K
ought			 K K K K
ounce			 K K K K
our			 K K K K
ours			 K K K K
ourselves			 K K K K
out			 K K K K
outbreak			 U U U U
outcome			 K K K K
outdoor			 K K K K
outer			 K K K K
outfit			 U U U U
outing			 U U U U
outlet			 N N N N
outline			 K K K K
outlook			 K K K K
output			 K K K K
outrage			 U U U N
outset			 U N N N
outside			 U N N N
outskirts			 U N N N
outstanding			 U U U N
outward			 U U U U
oval			 U N N N
oven			 U N N N
over			 K K K K
overall			 K K K K
overcoat			 K K K K
overcome			 K K K K
overflow			 K K K K
overhead			 N N N N
overhear			 N N N N
overlap			 K K K K
overlook			 K K K K
overnight			 K K K K
overpass			 K K K K
overseas			 K K K K
overtake			 N N N N
overthrow			 N N N N
overtime			 K K K K
overturn			 K K K K
overwhelm			 K K K K
overwhelming			 K K K K
owe			 U N N N
owing			 U N N N
owl			 U U U U
own			 K K K K
owner			 K K K K
ownership			 K K K K
ox			 K K K K
oxide			 K K K K
oxygen			 K K K K
ozone			 U U U U
pace			 K K K K
pack			 K K K K
package			 K K K K
packet			 U N N N
pact			 U U U U
pad			 K K K K
paddle			 U U U U
page			 K K K K
pail			 U U U U
pain			 U N N N
painful			 K K K K
paint			 U N N N
painter			 U N N N
painting			 K K K K
pair			 U N N N
palace			 K K K K
pale			 U U U U
palm			 K K K K
pamphlet			 U N N N
pan			 K K K K
panda			 K K K K
panel			 K K K K
panic			 K K K K
panorama			 U U U U
pant			 U U U U
pants			 U U U U
paper			 K K K K
paperback			 N N N N
parachute			 U U U U
parade			 U U U U
paradigm			 U U U U
paradox			 U N N N
paragraph			 U U U N
parallel			 K K K K
paralyze			 U U U N
parameter			 K K K K
parasite			 U U U U
parcel			 U U U U
pardon			 U N N N
parent			 U U N N
park			 K K K K
parliament			 U U U U
part			 K K K K
partial			 K K K K
participant			 K K K K
participate			 K K K K
particle			 U N N N
particular			 K K K K
partly			 U N N N
partner			 U N N N
party			 K K K K
pass			 K K K K
passage			 K K K K
passenger			 K K K K
passer-by			 U N N N
passion			 K K K K
passive			 K K K K
passport			 K K K K
past			 K K K K
paste			 K K K K
pastime			 K K K K
pasture			 U U U U
pat			 U N N N
patch			 K K K K
patent			 K K K K
path			 K K K K
pathetic			 U N N N
patience			 U N N N
patient			 U N N N
patriotic			 U N N N
patrol			 U U U N
patron			 U U U U
pattern			 K K K K
pause			 K K K K
pave			 K K K K
pavement			 K K K K
paw			 U U U U
pay			 K K K K
payment			 K K K K
pea			 U U U U
peace			 K K K K
peaceful			 K K K K
peach			 N N N N
peak			 N N N N
peanut			 K K K K
pear			 K K K K
NULL			 K K K K
pearl			 U N N N
peasant			 U U U U
pebble			 U U U U
peculiar			 U N N N
pedal			 U U U U
pedestrian			 U U U U
peel			 U U U U
peep			 U U U U
peer			 K K K K
pen			 K K K K
penalty			 U N N N
pencil			 K K K K
pendulum			 U U U U
penetrate			 K K K K
peninsula			 K K K K
penny			 K K K K
pension			 U N N N
people			 K K K K
pepper			 U U U U
per			 U U U U
perceive			 U N N N
percent			 K K K K
percentage			 K K K K
perfect			 K K K K
perfection			 N N N N
perform			 K K K K
performance			 K K K K
perfume			 U U U U
perhaps			 K K K K
period			 N N N N
periodical			 N N N N
perish			 U U U U
permanent			 U U U U
permeate			 U U U U
permission			 K K K K
permit			 K K K K
perpetual			 U U U U
perplex			 U U N N
persecute			 U U U U
persevere			 U U U U
persist			 U N N N
person			 K K K K
personal			 K K K K
personality			 K K K K
personnel			 U U U U
perspective			 N N N N
persuade			 U N N N
persuasion			 U N N N
pessimistic			 U U U U
pest			 U N N N
pet			 K K K K
petition			 U U U U
petrol			 K K K K
petroleum			 K K K K
petty			 U U U N
pharmacy			 U U U U
phase			 K K K K
phenomenon			 K K K K
philosopher			 K K K K
philosophy			 K K K K
phone			 K K K K
photo			 K K K K
phrase			 N N N N
physical			 K K K K
physician			 K K K K
physicist			 K K K K
physics			 K K K K
physiological			 K K K K
piano			 K K K K
pick			 K K K K
pickup			 K K K K
picnic			 U U U U
picture			 K K K K
pie			 K K K K
piece			 N N N N
pierce			 K K K K
pig			 K K K K
pigeon			 U U U U
pile			 K K K K
pilgrim			 U U U U
pill			 U N N N
pillar			 U U N N
pillow			 K K K K
pilot			 U U U N
pin			 U U U U
pinch			 U U U U
pine			 U U U U
pink			 K K K K
pint			 U U U U
pioneer			 U N N N
pipe			 K K K K
pirate			 U N N N
pistol			 U U U U
piston			 U U U U
pit			 U U U U
pitch			 U U U U
pity			 K K K K
place			 U N N N
plague			 U N N N
plain			 U N N N
plan			 K K K K
plane			 K K K K
planet			 U N N N
plant			 K K K K
plantation			 U U U U
plaster			 N N N N
plastic			 N N N N
plate			 K K K K
plateau			 K K K K
platform			 K K K K
plausible			 U N N N
play			 K K K K
playground			 K K K K
plea			 U U U U
plead			 U N N N
pleasant			 N N N N
please			 K K K K
pleasure			 K K K K
pledge			 U U U U
plentiful			 U N N N
plenty			 K K K K
plight			 K K K K
plot			 U N N N
plough			 U U U U
plug			 U N N N
plumber			 U U U U
plunge			 U U U U
plural			 U U U U
plus			 K K K K
pneumonia			 U U U U
pocket			 K K K K
poem			 K K K K
poet			 K K K K
poetry			 U U U U
point			 K K K K
poison			 K K K K
poisonous			 K K K K
poke			 K K K K
polar			 K K K K
pole			 U N N N
police			 K K K K
policeman			 K K K K
policy			 K K K K
polish			 N N N N
polite			 K K K K
political			 K K K K
politician			 K K K K
politics			 K K K K
poll			 N N N N
pollute			 U N N N
pollution			 U N N N
pond			 U U U U
ponder			 U N N N
pool			 K K K K
poor			 K K K K
pop			 K K K K
pope			 U U U U
popular			 K K K K
population			 K K K K
porcelain			 U U U U
porch			 U U U U
pork			 U U U U
port			 K K K K
portable			 U N N N
porter			 U U U U
portion			 U U U U
portrait			 U U U U
portray			 U U U U
pose			 K K K K
position			 K K K K
positive			 K K K K
possess			 U N N N
possession			 U N N N
possibility			 U U N N
possible			 K K K K
possibly			 K K K K
post			 K K K K
postage			 U U U U
postcard			 U N N N
poster			 K K K K
postman			 K K K K
postpone			 K K K K
posture			 U U U U
pot			 K K K K
potato			 K K K K
potential			 N N N N
poultry			 U U U U
pound			 U U U U
pour			 N N N N
poverty			 U N N N
powder			 U N N N
power			 K K K K
powerful			 K K K K
practical			 K K K K
practically			 K K K K
practice			 K K K K
practise			 N N N N
practitioner			 N N N N
praise			 K K K K
pray			 K K K K
prayer			 K K K K
preach			 U U U U
precaution			 U U U U
precede			 N N N N
precedent			 K K K K
preceding			 K K K K
precious			 N N N N
precise			 N N N N
precision			 N N N N
preclude			 U N N N
predecessor			 N N N N
predict			 K K K K
predominant			 K K K K
preface			 K K K K
prefer			 K K K K
preferable			 U U U U
preference			 U N N N
pregnant			 K K K K
prejudice			 U U U U
preliminary			 U U U U
premier			 U N N N
premise			 U U U U
premium			 U U U U
preparation			 K K K K
prepare			 K K K K
preposition			 U U U U
prescribe			 U U U U
prescription			 U U U U
presence			 U U N N
present			 K K K K
presently			 K K K K
preserve			 U U N N
preside			 U U U N
president			 K K K K
press			 K K K K
pressure			 K K K K
prestige			 U U U U
presumably			 K K K K
presume			 U U N N
pretend			 K K K K
pretext			 N N N N
pretty			 K K K K
prevail			 K K K K
prevalent			 U U N N
prevent			 K K K K
previous			 K K K K
prey			 N N N N
price			 K K K K
prick			 U U U U
pride			 N N N N
NULL			 K K K K
priest			 U U U N
primary			 N N N N
prime			 N N N N
primitive			 U U U U
prince			 K K K K
princess			 K K K K
principal			 N N N N
principle			 N N N N
print			 K K K K
prior			 K K K K
priority			 K K K K
prison			 K K K K
prisoner			 K K K K
privacy			 K K K K
private			 K K K K
privilege			 U U N N
prize			 K K K K
probability			 K K K K
probable			 K K K K
probe			 U N N N
problem			 K K K K
procedure			 U N N N
proceed			 K K K K
proceeding			 K K K K
process			 K K K K
procession			 K K K K
proclaim			 K K K K
produce			 K K K K
product			 K K K K
production			 K K K K
productive			 K K K K
productivity			 K K K K
profession			 K K K K
professional			 K K K K
professor			 K K K K
proficiency			 U U U N
profile			 K K K K
profit			 K K K K
profitable			 K K K K
profound			 K K K K
programme			 U N N N
progress			 K K K K
progressive			 N N N N
prohibit			 K K K K
project			 K K K K
projector			 K K K K
prolong			 U N N N
prominent			 N N N N
promise			 K K K K
promising			 K K K K
promote			 K K K K
prompt			 N N N N
prone			 N N N N
pronoun			 U N N N
pronounce			 U N N N
pronunciation			 U U U U
proof			 K K K K
propaganda			 U U U U
propel			 U U U N
proper			 K K K K
property			 K K K K
prophet			 U U U U
proportion			 N N N N
proposal			 N N N N
propose			 U U N N
proposition			 U U U U
prose			 N N N N
prosecute			 U U U U
prospect			 N N N N
prospective			 N N N N
prosper			 U U U N
prosperity			 N N N N
prosperous			 N N N N
protect			 K K K K
protein			 U N N N
protest			 K K K K
prototype			 K K K K
proud			 U N N N
prove			 U N N N
provide			 K K K K
provided			 K K K K
province			 K K K K
provision			 U U U N
provoke			 K K K K
prudent			 K K K K
psychiatry			 N N N N
psychology			 N N N N
pub			 K K K K
public			 K K K K
publication			 K K K K
publicity			 K K K K
publish			 K K K K
puff			 U N N N
pull			 K K K K
pulse			 N N N N
pump			 K K K K
punch			 K K K K
punctual			 N N N N
punish			 K K K K
pupil			 N N N N
puppet			 U U U U
purchase			 K K K K
pure			 K K K K
purify			 K K K K
purple			 U N N N
purpose			 K K K K
purse			 N N N N
pursue			 U N N N
pursuit			 K K K K
push			 K K K K
put			 K K K K
puzzle			 N N N N
pyramid			 K K K K
qualification			 N N N N
qualify			 N N N N
qualitative			 N N N N
quality			 N N N N
quantify			 N N N N
quantitative			 N N N N
quantity			 N N N N
quarrel			 U U U N
quart			 N N N N
quarter			 K K K K
quarterly			 K K K K
quartz			 N N N N
queen			 K K K K
queer			 U N N N
quench			 U U U U
quest			 N N N N
question			 K K K K
questionnaire			 U U U N
queue			 K K K K
quick			 K K K K
quiet			 K K K K
quilt			 U U U U
quit			 K K K K
quite			 K K K K
quiver			 U U U N
quiz			 U N N N
quota			 U U U U
quote			 K K K K
rabbit			 K K K K
race			 K K K K
racial			 K K K K
rack			 U U U U
racket			 U U U U
radar			 U U U N
radiant			 U N N N
radiate			 U N N N
radical			 U U U U
radio			 K K K K
radioactive			 K K K K
radius			 K K K K
rag			 U U U U
rage			 K K K K
raid			 U U U U
rail			 U N N N
railroad			 U N N N
rain			 K K K K
rainbow			 K K K K
raise			 K K K K
rake			 U U U U
rally			 N N N N
random			 K K K K
range			 K K K K
rank			 K K K K
rap			 U U U U
rape			 N N N N
rapid			 K K K K
rare			 K K K K
rarely			 K K K K
rash			 U U U U
rat			 U N N N
rate			 K K K K
rather			 K K K K
ratio			 K K K K
rational			 K K K K
raw			 K K K K
ray			 U N N N
razor			 U N N N
reach			 K K K K
react			 U N N N
read			 K K K K
reader			 K K K K
readily			 N N N N
reading			 K K K K
ready			 K K K K
real			 K K K K
realise			 K K K K
realistic			 N N N N
reality			 K K K K
really			 K K K K
realm			 K K K K
reap			 N N N N
rear			 K K K K
reason			 K K K K
reasonable			 K K K K
reassure			 U U U U
rebel			 U N N N
rebellion			 U N N N
recall			 K K K K
recede			 N N N N
receipt			 K K K K
receive			 K K K K
recent			 K K K K
reception			 N N N N
recipe			 U N N N
recipient			 U U U N
reciprocal			 U N N N
recite			 U U U U
reckless			 U U U N
reckon			 K K K K
reclaim			 K K K K
recognition			 K K K K
recognize			 K K K K
recollect			 U N N N
recommend			 K K K K
reconcile			 U U U U
record			 K K K K
recorder			 K K K K
recover			 K K K K
recovery			 K K K K
recreation			 U U U U
recruit			 U U U U
rectangle			 K K K K
rectify			 U U U U
recur			 U U U N
recycle			 K K K K
red			 K K K K
reduce			 U N N N
reduction			 U N N N
redundant			 U N N N
reed			 U U U U
reel			 U U U N
refer			 U N N N
reference			 K K K K
refine			 N N N N
reflect			 K K K K
reflection			 K K K K
reform			 K K K K
refrain			 U N N N
refresh			 K K K K
refreshment			 N N N N
refuge			 U N N N
refugee			 K K K K
refund			 U U U U
refusal			 U U U U
refuse			 K K K K
refute			 U U U U
regard			 K K K K
NULL			 K K K K
regarding			 K K K K
regardless			 K K K K
regime			 K K K K
region			 K K K K
register			 K K K K
regret			 K K K K
regular			 K K K K
regulate			 K K K K
regulation			 K K K K
rehearsal			 U U U U
reign			 K K K K
rein			 U N N N
reinforce			 U N N N
reject			 N N N N
rejoice			 U U U U
relate			 K K K K
relation			 K K K K
relationship			 K K K K
relative			 K K K K
relativity			 K K K K
relax			 K K K K
relay			 K K K K
release			 N N N N
relevant			 N N N N
reliable			 K K K K
reliance			 K K K K
relief			 K K K K
relieve			 K K K K
religion			 U N N N
religious			 U N N N
relish			 U U N N
reluctant			 U U U N
rely			 K K K K
remain			 K K K K
remainder			 K K K K
remains			 K K K K
remark			 K K K K
remarkable			 K K K K
remedy			 U U U U
remember			 K K K K
remind			 K K K K
remnant			 N N N N
remote			 K K K K
removal			 U N N N
remove			 K K K K
renaissance			 U U U U
render			 K K K K
renew			 U N N N
renovate			 U U U U
rent			 U N N N
repair			 K K K K
repay			 U N N N
repeat			 K K K K
repeatedly			 K K K K
repel			 U U U N
repertoire			 U U U U
repetition			 U U U N
replace			 K K K K
replacement			 K K K K
reply			 K K K K
report			 K K K K
reporter			 K K K K
represent			 K K K K
representative			 K K K K
repression			 K K K K
reproach			 U U U U
reproduce			 N N N N
reptile			 N N N N
republic			 N N N N
republican			 N N N N
reputation			 N N N N
request			 K K K K
require			 K K K K
requirement			 K K K K
rescue			 K K K K
research			 K K K K
resemblance			 U U U U
resemble			 U U N N
resent			 U U U N
reservation			 U U U N
reserve			 N N N N
reservoir			 N N N N
residence			 U N N N
resident			 K K K K
resign			 U N N N
resist			 U N N N
resistance			 U N N N
resistant			 U N N N
resolute			 N N N N
resolution			 N N N N
resolve			 N N N N
resort			 N N N N
resource			 K K K K
respect			 K K K K
respective			 K K K K
respond			 K K K K
response			 K K K K
responsibility			 K K K K
responsible			 K K K K
rest			 K K K K
restaurant			 K K K K
restless			 U N N N
restore			 K K K K
restrain			 K K K K
restraint			 K K K K
restrict			 U U U U
result			 K K K K
resultant			 K K K K
resume			 K K K K
retail			 K K K K
retain			 N N N N
retention			 U U U U
retire			 K K K K
retort			 U N N N
retreat			 N N N N
retrieve			 N N N N
retrospect			 U U U U
return			 K K K K
reveal			 K K K K
revelation			 K K K K
revenge			 U U U U
revenue			 K K K K
reverse			 K K K K
review			 K K K K
revise			 N N N N
revive			 N N N N
revolt			 U U U U
revolution			 K K K K
revolutionary			 K K K K
revolve			 N N N N
reward			 K K K K
rhythm			 N N N N
rib			 U N N N
ribbon			 U U U U
rice			 K K K K
rich			 K K K K
rid			 U U U N
riddle			 U U U U
ride			 K K K K
ridge			 U N N N
ridiculous			 K K K K
rifle			 U U U U
right			 K K K K
rigid			 U U U U
rigorous			 U U U U
rim			 K K K K
ring			 K K K K
riot			 U U U U
rip			 N N N N
ripe			 K K K K
rise			 K K K K
risk			 K K K K
ritual			 U U U U
rival			 U U N N
river			 K K K K
road			 K K K K
roar			 K K K K
roast			 U N N N
rob			 K K K K
robe			 K K K K
robot			 K K K K
robust			 K K K K
rock			 K K K K
rocket			 K K K K
rod			 U U U U
role			 K K K K
roll			 K K K K
romance			 K K K K
romantic			 K K K K
roof			 K K K K
room			 K K K K
root			 K K K K
rope			 U N N N
rose			 K K K K
rot			 K K K K
rotary			 U U U U
rotate			 K K K K
rotten			 K K K K
rough			 U N N N
round			 K K K K
roundabout			 K K K K
rouse			 K K K K
route			 K K K K
routine			 K K K K
row			 K K K K
royal			 K K K K
royalty			 N N N N
rub			 U N N N
rubber			 U U U U
rubbish			 U N N N
ruby			 K K K K
rude			 U N N N
rug			 K K K K
ruin			 U N N N
rule			 K K K K
ruler			 K K K K
rumor			 K K K K
run			 K K K K
rural			 U U U U
rush			 K K K K
rust			 U U U N
ruthless			 U U U U
sack			 U U U U
sacred			 U N N N
sacrifice			 N N N N
sad			 K K K K
saddle			 U U N N
safe			 K K K K
safeguard			 N N N N
safety			 K K K K
sail			 U N N N
sailor			 K K K K
saint			 N N N N
sake			 U U U N
salad			 U U N N
salary			 K K K K
sale			 N N N N
salesman			 K K K K
salt			 N N N N
salute			 U U U U
salvation			 U U U U
same			 K K K K
sample			 K K K K
sanction			 U U U U
sand			 K K K K
sandwich			 K K K K
sane			 U U U U
sarcastic			 U U U U
satellite			 K K K K
satire			 U U U U
satisfaction			 K K K K
satisfactory			 K K K K
satisfy			 K K K K
saturate			 K K K K
Saturday			 K K K K
sauce			 U U U U
saucer			 U U U U
sausage			 U U U U
savage			 U U U U
save			 K K K K
saving			 K K K K
saw			 K K K K
say			 K K K K
scale			 K K K K
scan			 K K K K
scandal			 K K K K
scar			 U U U U
scarce			 K K K K
scarcely			 U U N N
scare			 K K K K
NULL			 K K K K
scarf			 U U U U
scatter			 U N N N
scene			 N N N N
scenery			 N N N N
scent			 U U U U
schedule			 K K K K
scheme			 U N N N
scholar			 K K K K
scholarship			 K K K K
school			 K K K K
science			 K K K K
scientific			 K K K K
scientist			 K K K K
scissors			 U U U U
scold			 U U U U
scope			 K K K K
score			 K K K K
scorn			 U U U U
scout			 U U U U
scramble			 U U U U
scrap			 U U U U
scrape			 U N N N
scratch			 U U U U
scream			 K K K K
screen			 K K K K
screw			 U N N N
script			 K K K K
scrutiny			 U U U U
sculpture			 U U U U
sea			 K K K K
seal			 K K K K
seam			 K K K K
search			 K K K K
seaside			 K K K K
season			 K K K K
seat			 K K K K
second			 K K K K
secondary			 K K K K
secret			 K K K K
secretary			 K K K K
section			 K K K K
sector			 K K K K
secure			 K K K K
security			 K K K K
see			 K K K K
seed			 K K K K
seek			 K K K K
seem			 K K K K
seemingly			 K K K K
segment			 K K K K
segregate			 U U U U
seize			 K K K K
seldom			 K K K K
select			 K K K K
selection			 K K K K
self			 K K K K
selfish			 K K K K
sell			 K K K K
semester			 U N N N
semiconductor			 U N N N
seminar			 U N N N
senate			 K K K K
senator			 U N N N
send			 K K K K
senior			 K K K K
sensation			 N N N N
sense			 K K K K
sensible			 K K K K
sensitive			 K K K K
sentence			 K K K K
sentiment			 U N N N
separate			 K K K K
September			 K K K K
sequence			 K K K K
serial			 N N N N
series			 N N N N
serious			 N N N N
servant			 K K K K
serve			 K K K K
service			 K K K K
session			 K K K K
set			 K K K K
setback			 U N N N
setting			 K K K K
settle			 K K K K
settlement			 K K K K
seven			 K K K K
several			 K K K K
severe			 U U U N
sew			 U N N N
sex			 K K K K
shabby			 N N N N
shade			 K K K K
shadow			 K K K K
shady			 U U U U
shaft			 U U U U
shake			 K K K K
shall			 U N N N
shallow			 K K K K
sham			 U U U U
shame			 U N N N
shampoo			 U U U U
shape			 K K K K
share			 K K K K
shark			 U U U U
sharp			 U N N N
shatter			 U N N N
shave			 N N N N
she			 K K K K
shear			 N N N N
shed			 U U U U
sheep			 K K K K
sheer			 U U U U
sheet			 N N N N
shelf			 K K K K
shell			 K K K K
shelter			 K K K K
shepherd			 U N N N
shield			 N N N N
shift			 K K K K
shilling			 U U U U
shine			 U N N N
ship			 K K K K
shipment			 K K K K
shirt			 U U U U
shiver			 N N N N
shock			 K K K K
shoe			 K K K K
shoot			 K K K K
shop			 K K K K
shopkeeper			 K K K K
shore			 U N N N
short			 U U N N
shortage			 K K K K
shortcoming			 K K K K
shorthand			 K K K K
shortly			 K K K K
shot			 K K K K
should			 K K K K
shoulder			 U N N N
shout			 U N N N
shove			 U U U N
show			 K K K K
shower			 U U U U
shrewd			 U U U U
shrink			 K K K K
shrug			 U U U U
shut			 K K K K
